"app_id","GOOD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_03","I_04","ER_01","ER_02","I_05","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
115,"0","JUL2005",0,"SA",23,0,"R",19.82,1.16,8.74,2.01,11.36,0.1037878948,53.7265625,1.08,0,11.0099999999999,"5",2.52
116,"0","JUL2005",0,"SA",21,4,"P",11,2,13,2.80666666666667,44,0.0387659803,47.0859375,2,1,1320,"3",1
96,"1","JUL2005",960,"SM",46,1.19,"R",3,3,6.77,0,2,0,43.2265625,2,0,0,"3",1
92,"1","JUL2005",1,"SL",22,4,"R",16,1.41,9.58,2,14.55,0.0875395227,48.28125,1.08,0,317.215,"5",2.1
91,"0","JUL2005",0,"SB",19,1,"R",9.184,1.08,14.21,0.91,24.06,0.2540849233,71.3125,1.07,0,13.1099999999999,"5",2.71
110,"1","JUL2005",0,"SO",18,0.69,"P",11.9,1.04,26,1.540625,4,0.0270535915,50.9765625,1.1,0,23.7299999999999,"5",2.55
119,"1","JUL2005",1,"SL",19,1,"P",10,2,9,0,22,0.0994428329,68.78125,2,2,1150,"3",0
147,"1","JUL2005",0,"SO",20,1,"P",20.85,1.63,2,5.24,15,0,9.8125,1,0,287.9325,"5",1
128,"1","JUL2005",0,"FT",22,1.02,"R",19.11,1.09,7.77,1.53,11.87,0.0967883989,47.2162109375,1.17,0,18.8699999999999,"5",2.395
129,"0","JUL2005",0,"SO",19,1,"P",19.68,1.23,16,26,4,0,17.1328125,1.14,0,31.09,"5",2.88
140,"0","JUL2005",1,"SC",19,1,"P",21.14,1.18,12.62,10,10,0.3780874815,28.35546875,1.23,0,9.01999999999991,"5",4
141,"0","JUL2005",0,"SB",22,3,"P",2,2,1,2,11,0.1119794536,53.484375,1,2,3809,"3",1
135,"1","JUL2005",1,"SO",29,0.93,"R",21.68,1.24,6.95,2.05,9.72,0.2099019224,60.078125,1.04,0,11.0199999999999,"5",2.42
131,"1","JUL2005",1,"SD",18,0.61,"P",11.17,1.2,15,2,53,0.0246184738,55.578125,1.07,0,17.4099999999999,"5",2.65
143,"0","JUL2005",0,"SO",23,1,"P",22.11,1.08,10.405,3.79333333333333,13,0.0325951611,40.953125,1.04,0,-1.10276232589968e-13,"5",2.48
151,"1","JUL2005",0,"SA",19,0,"P",9,2,7,3,23,0.0982507756,83.9375,1,1,0,"3",1
162,"1","JUL2005",1,"SB",20,0.81,"P",17.71,1.17,15,15,7,0.0650839009,64.1875,1.07,0,44.7199999999999,"5",2.94
160,"0","JUL2005",0,"SA",30,0,"R",20.4,1.2,8.55,4.27,9.24,0,38.350356445313,1.22,0,2.55999999999991,"5",2.67
191,"0","JUL2005",2,"SC",20,1,"P",2,1,1,0,13,0.2038313127,72.171875,1,0,0,"3",0
166,"0","JUL2005",1,"SM",21,3,"H",3,1,9,2.14,21,0.2453958509,59.578125,1,0,526.16,"5",2
175,"1","JUL2005",0,"SO",20,2,"P",5,1,0,0,9,0.0005284478,55.4453125,1.18,0,0,"3",2.57
186,"1","JUL2005",160,"SB",18,0.63,"P",12.92,1.12,21,0,32,0,76.9375,1.07,0,1.32999999999988,"5",2.44
161,"0","JUL2005",0,"SA",30,0,"R",20.4,1.2,8.55,4.27,9.24,0,38.350356445313,1.22,0,2.55999999999991,"5",2.67
176,"1","JUL2005",100,"SN",26,0,"P",22,1,10,6,5,0.0897657545,50.25,1.26,0,0,"3",3
167,"1","JUL2005",0,"SL",22,5,"P",1,1,23,5.16,33,0.1289645131,61.296875,2,1,275,"3",1
157,"1","JUL2005",0,"SO",24,1,"P",21.29,1.12,9.885,3.81,11.43,0,44.265625,1.06,0,-1.06297193269711e-13,"5",2.45
158,"1","JUL2005",0,"SO",18,0.73,"P",39,1,19,0.789,24,0.0531248706,74.8125,1.07,0,0,"3",2.29
194,"1","JUL2005",0,"SC",18,0,"P",7,1,23,1.42,76,0.1067583885,67.328125,1.27,0,0.969999999999889,"5",2.85333333333333
213,"1","JUL2005",0,"SC",20,2,"P",6,2,14,2,29,0.1214747704,64.234375,2,1,1950,"3",0
208,"1","JUL2005",0,"SC",18,0,"P",7,1,1,1,11,0,53.1015625,1.17,0,0,"3",2.64
210,"1","JUL2005",0,"SC",20,1,"R",12.16,1.14,11.65,2.32,11.27,0.2206156091,37.4609375,1.15,0,21.7099999999999,"5",2.39
219,"1","JUL2005",1,"SD",23,1.04,"R",13.99,1.19,9.79,2.06,16.12,0,28.2265625,1.08,0,8.2499999999999,"5",2.38
217,"1","JUL2005",1,"SO",23,0.823333333333333,"R",16.02,1.12,8.67,1.43,10.19,0.3126287283,51.4375,1.07,0,5.72999999999988,"5",2.35
200,"1","JUL2005",0,"SA",23,4,"P",32,4,13,6,12,0.1053873827,47.828125,1,2,0,"3",1
205,"0","JUL2005",0,"SD",19,1,"R",4,1,6.55,0,11.5925,0.356764555,40.765625,2,1,11,"3",1
202,"1","JUL2005",2,"SO",21,1.49,"R",13.174,1.07,11.24,1.46,14.5280952380952,0.1879235147,74.875,1,0,152.78,"5",0
254,"1","JUL2005",0,"SO",20,1,"P",11.19,1.01,13.7725,1.36,11.82,0.1185319114,49.265625,1.05,0,10.2299999999999,"5",3.105
231,"1","JUL2005",1,"SA",22,4,"P",25,1,18,4.19,51,0.0271141469,38.984375,1,1,725,"3",0
235,"1","JUL2005",300,"SO",19,0.9,"P",14,1,11,0,34,0.0362955423,74.75,1,0,0,"3",1
230,"1","JUL2005",2,"SO",19,0.9,"P",9.24333333333333,1.12,9.96,0.77,12.4866666666667,0.1067439858,52.3515625,1,0,41.31,"5",0
247,"0","JUL2005",0,"SM",22,1,"P",18.88,1.66,1,5,19.34,0,93,1,0,474.3,"5",1
240,"0","JUL2005",1,"SD",23,1,"R",12.92,1.15,10.035,1.36,17.6,0.0070633173,60.515625,1.04,0,23.2699999999999,"5",2.43
226,"0","JUL2005",0,"FT",26,0,"P",25.2025,1.11,9.58071428571429,3.48,15.33,0,49.458583984375,1.19,0,15.6699999999999,"4",2.4
275,"0","JUL2005",1,"SO",20,1.11,"P",9.79733333333333,1.07,10.09,0,14.33,0.2176024243,43.1328125,1,0,116.65,"5",1
265,"1","JUL2005",1,"SO",21,1.03,"P",10,1,28,3,10,0.2730471147,60.953125,1.12,0,0,"3",3.37
273,"0","JUL2005",0,"SO",18,1,"R",20.5917126436782,1.03,8.2,0.98,10.78,0,49.48951171875,1.09,0,4.27999999999988,"4",1.85714285714286
263,"0","JUL2005",0,"SB",19,1,"P",11,1.08,4,3,4,0.1868432141,30.79296875,1.17,0,26.14,"5",2.75
274,"1","JUL2005",0,"SB",30,1.37,"R",11,1,8.96,2.62,15.5,0.1345534017,74.3125,1,0,0,"3",1
309,"0","JUL2005",0,"SO",30,0,"R",21.1,1.25,8.5,4.1,6.78,0.339156392,38.8125,1.13,0,10.8899999999999,"5",2.6
311,"1","JUL2005",0,"SF",17,0,"P",15.99,1.02142857142857,6,0,12,0.0379615118,64.875,1.13,0,-1.21929133456433e-13,"5",2.29
298,"0","JUL2005",500,"SB",21,1.46,"R",3,1,7.78,1.69,15.09,0.6305130385,71.734375,1.2,0,0,"3",2.24
289,"1","JUL2005",1,"SO",19,2,"R",12.51,1.11,10.46,1.17,15.6933333333333,0.1207500766,67.140625,1.05,0,78.56,"5",2.1
315,"1","JUL2005",1,"SO",19,0,"P",5,2,12,2,16,0.0954345851,75.90625,1.15,0,0,"3",2.61
304,"1","JUL2005",0,"SF",18,0,"P",2,1.218,12.6233333333333,0,17.77,0.0682869942,24.45703125,1,0,92.72,"5",0
307,"1","JUL2005",2,"SA",21,1,"P",44,1,9.38,2,13.22,0.0916146927,37.7890625,1.15,0,0,"3",2.355
286,"1","JUL2005",0,"SB",18,0.7625,"P",53,1,9,0,13,0.4232385475,31.06640625,1.305,0,0,"3",1.81714285714286
295,"1","JUL2005",400,"FT",44,1.22,"R",28,1.23,7.03,2.23,12.61,0.1088483338,48.375,1.26,0,40.9199999999999,"5",2.475
343,"0","JUL2005",0,"SC",18,0,"P",10.465,1.02,13.2,1.07,9,0,34.203125,1.22,0,14.9199999999999,"5",2.78
341,"1","JUL2005",1,"SO",21,0.983333333333333,"P",19.05,1.12,21,4.48,13,0.2622215869,33.2578125,1.1,0,50.06,"5",2.78
350,"1","JUL2005",800,"SB",45,1.39333333333333,"R",18,2,9.92,6,12.14,0.2662298642,38.671875,1.17,0,57.08,"5",2.35
349,"1","JUL2005",0,"SA",19,1,"P",15,1,0,0,3,0,80.546875,1.15,0,0,"3",2.21
344,"0","JUL2005",0,"SO",20,1,"P",5,1,1,1.23,6,0.0471019316,57.4609375,1.12,0,0,"3",2.66
352,"0","JUL2005",320,"SN",20,1,"P",5,2,6,3,12,0.0602993299,78.640625,2,1,0,"3",2
329,"0","JUL2005",0,"SO",18,0.7875,"P",28,1,7.04333333333333,1.37,12.1,0.0769873261,31.10546875,1.17,0,0,"3",2.16
339,"1","JUL2005",0,"SE",18,0,"P",13.14,1.08,10.2833333333333,0.8,17.0982142857143,0.3860725453,57.9296875,1.1,0,6.24999999999988,"5",1.92
327,"1","JUL2005",0,"SO",16,0,"P",16.82,1.08,11,2.25,16,0.0563377071,27.62109375,1.18,0,0.0199999999998923,"5",2.38
382,"1","JUL2005",0,"SL",20,1.23,"P",3,1,12,1.82333333333333,9,0,67.9375,1.15,0,0,"3",2.50823529411765
374,"1","JUL2005",0,"SO",23,0.96,"R",17.62,1.19,10.805,2.3,19.59,0.1116264029,77.203125,1.01,0,2.98999999999989,"5",2.35
383,"0","JUL2005",0,"SO",21,2,"P",19,2,4,3.17777777777778,1,0,43.1171875,1,1,1107,"3",3
378,"1","JUL2005",1,"SF",20,1,"R",12,1,11.3666666666667,1.53,18.69,0.2014797474,67.796875,1,1,360,"3",1.37
361,"1","JUL2005",480,"SO",23,5,"P",14,2,14,5,12,0,81,1,2,72,"3",1.4
377,"0","JUL2005",1,"SL",21,0,"P",19,1.08,22,1,2,0,39.203125,1.12,0,76.23,"5",2.41
368,"0","JUL2005",1,"SA",23,0.78,"R",18.29,1.1,8.85,1.63,9.87,0,48.961640625,1.12,0,10.2999999999999,"4",2.26
364,"1","JUL2005",0,"SO",23,3,"P",11,1,16.84,19,28,0.0350721098,73.5625,1,1,412,"3",0
381,"1","JUL2005",500,"SO",18,1.16,"P",7,1,11.1366666666667,3.12,2,0.0429544147,54.234375,1,1,2,"3",3
404,"0","JUL2005",0,"SB",19,0,"P",8.54,1.07,14,0,38,0,32.703125,1.12,0,61.67,"5",2.52
408,"1","JUL2005",800,"SB",19,0.8,"P",8.64533333333333,1.36,19,0,8,0.0715759185,50.1875,1,0,67.28,"5",2
411,"1","JUL2005",1,"SE",24,1.22,"R",6,1,6.99,1.42,8.37,0.1049111555,44.234375,1.18,0,0,"3",2.40823529411765
412,"1","JUL2005",1,"SO",16,0.62,"P",20.85,1.01,5,0.92,6,0.0640122702,54.15625,1.06,0,-1.25055521493778e-13,"5",2.23
422,"1","JUL2005",0,"SO",19,0.95,"R",9,1,14.22,0.77,25.49,0.2960278122,70.59375,1.1,0,0,"3",2.79323529411765
430,"1","JUL2005",1,"SO",20,1.08,"R",13.6,1.07,8.17,0.93,9.79,0,48.82146484375,1.1,0,3.59999999999989,"4",2.13323529411765
389,"1","JUL2005",0,"SO",21,1.15,"R",12,1,0,1.73,5,0.0023079388,21.265625,1.13,0,0,"3",2.845
429,"1","JUL2005",0,"SL",25,1.09,"P",26,1.37,13.87,5.52,2,0,45.6484375,1.04,0,70.86,"5",2.45
418,"1","JUL2005",10,"SF",19,0.76,"P",10,1,13,0,38,0.381779423,64.03125,1.18,0,0,"3",2.93323529411765
427,"0","JUL2005",0,"SO",18,1,"P",28,1,7,0.74,8,0.0190419333,48.09375,1.08,0,0,"3",2.00714285714286
419,"1","JUL2005",0,"SC",21,3,"P",15,2,2,2,11,0.0350777647,91.84375,1,1,0,"3",0.92
409,"1","JUL2005",1,"SB",23,1,"R",23,1.4,8.9,5,13.28,0.598415086,13.0625,1.24,0,18.1799999999999,"5",2.46
385,"1","JUL2005",1,"SO",21,1.31,"P",19,1,5,2,8,0.0522158801,64.203125,1,0,158.945,"5",0
405,"0","JUL2005",1,"SO",23,0.74,"R",18.85,1.16,8.97666666666667,2.06,12.52,0.2728191791,58.6875,1.05,0,24.2999999999999,"5",2.35
428,"0","JUL2005",380,"SA",18,0,"P",21.56,1.22,17.57,15,15,0.0643372955,50.8828125,1.07,0,7.22249999999989,"5",2.97
452,"1","JUL2005",0,"SA",21,2,"P",15,1.19,13,2,31,0,84.90625,1,0,621.33,"5",1
457,"0","JUL2005",0,"SO",22,0.833333333333333,"R",17.03,1.16,9.65,2.74,12.82,0.4654815868,45.7265625,1.11,0,6.70999999999989,"5",2.28
439,"1","JUL2005",400,"SB",20,1.25,"R",6,1.05,10.94,1.76,15.2,0.0955666166,61.421875,1.16,0,2.12999999999989,"5",2.68
456,"1","JUL2005",0,"SN",18,0.68,"P",11.5833333333333,1.05,14,1,12,0,67.28125,1.16,0,11.6899999999999,"5",2.55
448,"1","JUL2005",1,"SO",18,0,"P",5,1,18,1,37,0.0731288353,65.671875,1,0,0,"3",2
449,"0","JUL2005",0,"SA",22,3,"R",14,1,7.32,2.14,11.755,0.1860068603,51.53125,1.06,0,340.67,"5",1.96
461,"0","JUL2005",0,"SB",20,0,"P",6,1,18,3.105,17,0.1204061222,59.1875,1.18,0,0,"3",4
482,"1","JUL2005",0,"SL",24,3,"P",12,2,15.19,5.27333333333333,18.095,0,67.526328125,1,1,0,"3",1.48833333333333
477,"0","JUL2005",0,"SF",23,2,"P",34,1.27,3,3,8,0,42.8984375,1,0,682.8,"5",0
498,"1","JUL2005",0,"SO",19,1,"P",18,1,14,0,13,0,24.58203125,1.13,0,0,"3",2.34323529411765
489,"1","JUL2005",0,"SL",21,3,"P",6,4,6,3,7,0.4496297045,57.9375,3,3,298,"3",0
468,"1","JUL2005",0,"SC",27,0,"R",16.56,1.12,5.99,2.78,10.8,0.3347548805,38.5078125,1.2,0,33.28,"5",2.35
479,"1","JUL2005",1,"SA",29,6,"H",8,1.26,11.695,3,19.71,0.0342638699,26.66015625,1.16,0,820.58,"5",2.4
531,"1","JUL2005",0,"SC",21,0,"P",12.77,1.16,5,3,6,0.3490691986,76.015625,1.18,0,45.58,"5",2.54
533,"1","JUL2005",0,"SO",27,0.74,"R",21.61,1.06,6.97,2.17,7.61,0,30.65625,1.17,0,1.4599999999999,"5",2.34
517,"0","JUL2005",1,"SO",42,1.51,"R",29,1,6.92,3.04,11.9,0,63.6953125,1.17,0,151.33,"1",2.14
536,"1","JUL2005",40,"SO",19,0,"P",5,1,16,1.20666666666667,11,0,88.125,2,0,0,"3",1
523,"1","JUL2005",400,"SO",19,1,"P",7,1,2,0,2,0,62.8203125,1.21,0,0,"3",2.45
530,"1","JUL2005",1,"SO",23,1.02,"R",9,1,7.35,1.56,11.44,0,52.922265625,1.07,0,0,"3",2.82823529411765
518,"1","JUL2005",0,"SO",21,1.1,"P",14.52,1.04,1,2.18,7.84666666666667,0,50.4765625,1.09,0,27.39,"5",2.295
556,"1","JUL2005",0,"SO",17,0.6825,"P",26.5283793103448,1.03,3,1.3,12,0,54.2802734375,1.05,0,0.599999999999889,"5",2.38
548,"1","JUL2005",1,"SO",23,0,"P",20,1,11,4,10,0.0415294768,52.640625,1.11,0,0,"3",2.59
564,"1","JUL2005",1,"SO",20,3,"P",8,2,18,0,22,0.0542542692,38.1171875,1,2,328,"3",1
545,"1","JUL2005",0,"SO",24,1,"P",14.2928888888889,1.14,8.99333333333333,1,13.2966666666667,0.1935410998,51.2265625,1,0,132.09,"5",0
554,"0","JUL2005",360,"SN",19,3,"R",18,1,19,3,31,0.1872711852,61.9296875,1,1,1014,"3",0
549,"0","JUL2005",0,"SA",23,2,"R",37,1.1,7.92,2.1,12.095,0,50.0625,1.06,0,235.18,"5",2
568,"0","JUL2005",200,"SB",20,1,"P",1,3,12.49,3,24.61,0,84.953125,2,2,737,"3",0
563,"1","JUL2005",0,"SO",32,0.79,"P",22.8910666666667,1.14,11.15,4.15,18.43,0,51.70158203125,1.12,0,0.0699999999998894,"4",2.46
544,"1","JUL2005",1,"SL",24,2,"P",15,1.50666666666667,26,6,18,0.0871256117,63.3828125,1.1,0,115.51,"5",2.2
557,"1","JUL2005",500,"SB",25,1.32,"R",4,1,7.60571428571429,2.1,12.4216666666667,0.4647341147,37.8203125,1,0,0,"3",1
572,"1","JUL2005",1,"SB",24,1,"R",2,2,8.65833333333333,1,16.4,0.5624444671,33.3671875,2,1,0,"3",0
573,"1","JUL2005",0,"SH",21,4,"P",30,1,21,2,5,0.0219525473,78.828125,1,1,3631,"3",0
612,"1","JUL2005",0,"SB",22,3,"P",16,1,17,3,24,0.0940839897,75.3125,1.04,0,0,"3",2.51333333333333
602,"1","JUL2005",500,"SO",18,0.7125,"P",12.29,1.07,16,0,16,0.1690302002,40.4296875,1.07,0,7.10999999999989,"5",2.31
605,"1","JUL2005",0,"SD",19,0.76,"P",1,1.17,11.53,1,21.73,0.0362374359,22.56640625,1.24,0,52.67,"5",2.3
599,"0","JUL2005",400,"SO",23,1.64666666666667,"R",1,1,10.07,2.04,10.33,0,45.859780273438,1,0,0,"3",1
588,"0","JUL2005",1,"SM",21,2,"R",11.4,1.19,11.94,0,17.5533333333333,0.0287116012,56.3203125,1.04,0,172.96,"5",3
636,"0","JUL2005",1,"SA",19,1,"P",11.7766666666667,1.06,12.285,0.84,14.91,0,58.5977734375,1.1,0,6.94999999999988,"4",2.835
621,"1","JUL2005",1,"SO",23,1.47,"R",2,1,8.31333333333333,1.87,13.93,0.4561984967,60.609375,1,0,0,"3",0
641,"0","JUL2005",0,"SC",19,1,"P",10.8866666666667,1.08,9.96,1.00333333333333,16.8871428571429,0,53.927841796875,1.11,0,12.5799999999999,"4",2.69823529411765
624,"0","JUL2005",0,"SA",18,1,"P",3,1,16,0,34,0.0659206074,61.671875,1,1,150,"3",1.37814285714286
628,"0","JUL2005",0,"SO",22,5,"P",8,1,13,4,29,0.1706764931,46.6875,1,1,3448,"3",3
634,"0","JUL2005",0,"SA",20,1,"P",16,1.11,12,2,6,0.5663343482,49.125,1.17,0,58.0799999999999,"5",2.29
618,"1","JUL2005",0,"SM",23,5,"H",19.18,1.41,7.82166666666667,3.63,17.4266666666667,0,56.348989257813,1.03,0,513.53,"5",2.23
625,"1","JUL2005",1,"SO",19,0.96,"R",20.64,1.25,13.3766666666667,5.788,21.65,0.229404042,97.984375,1.14,0,17.7899999999999,"5",2.935
622,"1","JUL2005",0,"SM",18,0,"P",23,2,14,0,37,0,56.1640625,1,1,0,"3",0
666,"1","JUL2005",100,"SC",19,0.64,"P",11.7,1.09,24,1,15.64,0.1436718814,46.0546875,1.14,0,19.0899999999999,"5",2.74
654,"1","JUL2005",1,"SO",18,0.4925,"P",11,1.02,13.79,0.47,20.215,0.1335679893,67.578125,1.1,0,6.97999999999987,"5",2.75
653,"1","JUL2005",1,"SC",18,0,"P",11.6458333333333,1.03,10.815,0.79,25.5,0,63.0173046875,1.16,0,6.51999999999986,"4",2.27
649,"1","JUL2005",1,"SB",21,2,"P",15,1,17,3,37,0,65.78125,1,1,2141,"3",0
648,"1","JUL2005",1,"SO",23,0.87,"R",18.37,1.17,8.28,1.92,8.64,0,50.903671875,1.1,0,-1.125499693444e-13,"4",2.28823529411765
657,"0","JUL2005",0,"SK",18,0,"P",49,1,21,0,10,0,49.703125,1.17,0,0,"3",2.32
646,"0","JUL2005",0,"SO",21,2,"P",5,1,0,2.3,3,0,25.0859375,2,1,1127,"3",1
665,"0","JUL2005",0,"SO",19,1,"P",12,1,2,1,29,0.32149122,52.53125,1,1,365,"3",4
645,"1","JUL2005",1,"SA",20,3,"P",21,1,11.038,1,20.72,0,51.734375,1,1,1030,"3",0.75
674,"0","JUL2005",0,"SF",22,0,"P",16,2,19,3.49,14,0,57.3046875,1.13,0,0,"3",2.34333333333333
677,"1","JUL2005",0,"SO",23,1.23,"R",17.4,1.08,7.69,1.59,9.838,0,48.322578125,1.09,0,2.76999999999989,"4",2.14323529411765
691,"1","JUL2005",760,"SO",24,1,"R",18,1,13.385,3.48166666666667,19.585,0.0706437458,77.015625,1.1,0,0,"3",3
686,"0","JUL2005",0,"SO",19,0,"H",3,1,5,2,17,0.0439332351,73.015625,2,1,29,"3",1
694,"0","JUL2005",420,"SB",30,0,"R",2,1,10.485,2.65,13.205,0,15.58984375,3,0,0,"3",0
703,"0","JUL2005",0,"SO",18,2,"P",30,1,9,1.15175438596491,24,0.0060602976,65.3125,1.07,0,0,"3",2.07714285714286
705,"1","JUL2005",2,"SO",21,1.38,"R",13.1,1.11,9.68,1.36,15.584,0.1926709646,70.421875,1.03,0,2.12999999999989,"5",2.27
687,"1","JUL2005",1,"SE",18,0.57,"P",15.23,1.04,10.375,0.583333333333333,18.1175,0,58.9854166666667,1.2,0,2.25999999999987,"4",2.03
683,"1","JUL2005",1,"FT",18,0.6,"P",18.81,1.08,7,1.25,40,0,81.84375,1.11,0,5.63999999999988,"5",2.33
698,"0","JUL2005",1,"SA",44,0,"H",11,1.28,4,3,2,0,67.46875,1.14,0,86.91,"5",4
720,"1","JUL2005",0,"SA",21,3,"P",7,2,8,2,19,0,80.53125,1,2,1003,"3",3
722,"1","JUL2005",0,"SB",23,1.17,"R",18.13,1.16,7.695,1.67,14.852,0,54.4483984375,1.11,0,-1.12265752250096e-13,"4",2.19
712,"0","JUL2005",0,"SD",24,2,"P",19,2,10,6,42,0,68.875,1,1,1392,"3",1.27
737,"0","JUL2005",0,"SN",26,0,"R",19.28,1.21,7.64571428571429,4.06,9.35,0.1659575803,37.2265625,1.22,0,0.469999999999906,"5",2.59
719,"1","JUL2005",0,"SO",20,1,"R",13.93,1.03,8.33,0.96,9.6,0,48.0661281622024,1.1,0,6.36999999999988,"4",2.01323529411765
718,"1","JUL2005",0,"SO",21,2,"P",5,1,0,0,12,0,77.109375,1.2,0,0,"3",2.67
734,"0","JUL2005",260,"SB",20,1,"P",6,2,1,1,6,0.0601953698,63.3984375,2,2,644,"3",0
736,"1","JUL2005",0,"SB",21,2,"R",14.16,1.17,7.73,1.53,11.99,0.2842613291,53.6640625,1.05,0,355.76,"5",1.88
733,"1","JUL2005",0,"SD",20,3,"P",2,1,7,2,27,0.0126730821,63.328125,1,1,521,"3",1
732,"1","JUL2005",0,"SO",21,3,"P",19.45,1.15,9.63,2.46333333333333,13.215,0.0557438486,37.828125,1,0,644.16,"5",0
749,"0","AUG2005",0,"SF",22,0,"P",4,1,23,2,14,0,46.3203125,2,0,0,"3",0
776,"0","AUG2005",1300,"SJ",23,1,"P",38,1.55,22,5,40,0.1139469158,72.40625,2,0,176.2975,"5",0
748,"0","AUG2005",0,"SA",19,1,"P",30,1,1,1,14,0.5484141018,56.8046875,2,1,614,"3",0
783,"0","AUG2005",1,"SB",23,0.46,"R",5.774,1.25,7.71333333333333,1.99,13.02,0.2526961211,50.3984375,1,0,30.54,"5",1
759,"0","AUG2005",200,"SF",22,0.61,"R",13.67,1.13,9.47666666666667,1.6,13.23,0.2112868289,62.3046875,1.04,0,3.59999999999988,"5",2.26
770,"1","AUG2005",1,"SF",20,3,"P",9,1,21,1,50,0.0437372074,64.5,1.1,0,0,"3",3.12
760,"1","AUG2005",880,"SL",22,2.11,"P",3,4,6,3,14,0.0154096837,24.87890625,1,3,570,"3",2
777,"1","AUG2005",21,"SO",18,0.11,"P",13,1,18,0,7,0.0267344875,78.046875,1.05,0,0,"3",2.155
755,"1","AUG2005",0,"SO",20,0,"P",10.6,1.11,3,2,5,0.457833305,24.51953125,1.27,0,2.71999999999989,"5",2.87
763,"1","AUG2005",0,"FT",16,0.41,"P",28.27,1.1,25,4.45,28.12,0.0085829547,21.62890625,1.16,0,7.32999999999988,"5",2.89
757,"1","AUG2005",0,"SH",17,0,"P",17,1.01,12,0,24,0,93.46875,1.07,0,0.00999999999983118,"5",2.42
762,"1","AUG2005",1,"SB",19,0.31,"P",20,1,0,1,3,0,53.457915039063,1.3,0,31.8899999999999,"1",2.605
784,"1","AUG2005",500,"SO",19,0.3,"P",10,1,14.0896666666667,0.84,15,0,72.703125,1.12,0,0,"3",3
