"app_id","GOOD","BAD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"-153",".",".","07JUL2005","560","FT","18",".","P",".",".",".",".",".",".","0","2",".","0.0034893525","53.578125",".","0",".","5","-1"
"-156",".",".","07JUL2005","0","SA","17","0","P",".",".",".",".",".","12","0","37",".","0.0338882339","73.25",".","0",".","5","-1"
"-155",".",".","07JUL2005","0","SG","32","0","",".",".","25","1","165",".",".",".",".","0.0863910203","48.390625","1","0","0","3","1"
"-123",".",".","07JUL2005","1","SH","21","4","P",".","2400","16","2","97","2","1","3","343","0","71.40625","1","2","2388","3","0"
"-150",".",".","07JUL2005","0","SA","23","4","R",".",".",".",".",".",".",".",".",".","0.1067795982","54.7578125",".","0",".","5","-1"
"-139",".",".","07JUL2005","1","SL","25","2","R",".",".",".",".",".",".",".",".",".","0","43.21875",".","0",".","5","-1"
"-133",".",".","07JUL2005","0","SN","31","1","R",".","200","12","3",".",".",".","19",".","0.6877440494","20.9296875","3","1","0","1","1"
"135","1","0","07JUL2005","1","SO","29",".","R",".",".",".",".",".",".",".",".",".","0.2099019224","60.078125",".","0",".","5","-1"
"-124",".",".","07JUL2005","820","SO","32",".","R",".","1700","7","1","0",".",".",".","124","0.1811588686",".",".","0","0","3","3"
"-142",".",".","07JUL2005","0","SF","21","1","P","2",".","5","2","0","19","3","24",".","0.2639586972","43.3046875","3","2","604","3","0"
"131","1","0","07JUL2005","1","SD","18",".","P",".",".",".",".",".","15","2","53",".","0.0246184738","55.578125",".","0",".","5","-1"
"-145",".",".","07JUL2005","1","SB","21","0","P","1","500","1",".","50","15","5","7","496","0","63.2265625","2","0",".","5","0"
"143","0","1","07JUL2005","0","SO","23","1","P",".",".",".",".",".",".",".","13",".","0.0325951611","40.953125",".","0",".","5","-1"
"-130",".",".","07JUL2005","1","SC","17","0","P",".",".",".",".",".",".","11",".",".","0","60.0546875",".","0",".","5","-1"
"151","1","0","07JUL2005","0","SA","19","0","P",".","150","9","2",".","7","3","23",".","0.0982507756","83.9375","1","1","0","3","1"
"-148",".",".","07JUL2005","0","SA","18","0","P","1",".","2","3",".","12","0","59",".","0.0639404042","48.0234375","1","2","0","3","-1"
"162","1","0","08JUL2005","1","SB","20",".","P",".",".",".",".",".","15","15","7",".","0.0650839009","64.1875",".","0",".","5","-1"
"-164",".",".","08JUL2005","0","SM","31","2","H",".","1450","10",".","0",".",".","1","402","0","83.265625","1","0",".","5","1"
"-178",".",".","08JUL2005","1","SK","18",".","P",".",".","33","1",".","27","0","8",".","0","46.3359375",".","0","0","3","-1"
"-193",".",".","08JUL2005","0","SM","40","1","H",".","39100","10","1","0",".","7",".","3596","0.0346307023","48.53125","1","1","1246","3","4"
"-165",".",".","08JUL2005","1","SO","18","0","P",".",".",".",".",".",".","0",".",".","0","82.015625","1","0",".","5","0"
"180","1","0","08JUL2005","0","SC","36","1","H",".","4700","17",".",".",".","1",".","124","0.0278516425","80.25",".","0",".","5","-1"
"-195",".",".","08JUL2005","0","SC","20","2","P",".",".",".",".",".","26","2","3",".","0","70.1875",".","0",".","5","-1"
"-168",".",".","08JUL2005","200","SB","18",".","P",".",".",".",".",".","22","0","7",".","0.0443539924","31.1640625","1","0",".","5","0"
"160","0","1","08JUL2005","0","SA","30","0","R",".",".",".",".",".",".",".",".",".","0",".",".","0",".","5","-1"
"191","0","1","08JUL2005","2","SC","20","1","P","1","750","2","1","271","1","0","13","0","0.2038313127","72.171875","1","0","0","3","0"
"179","1","0","08JUL2005","1","SK","18","0","P",".",".","33","1",".","27","0","10",".","0","46.4296875",".","0","0","3","-1"
"-192",".",".","08JUL2005","0","SO","23","0","P",".",".",".",".",".","0",".","7",".","0","68.234375",".","0",".","5","-1"
"188","1","0","08JUL2005","0","SO","18",".","P","1","100","4","1",".",".",".",".","124","0.0924624477","27.51953125","1","0","0","3","1"
"-163",".",".","08JUL2005","0","SA","25","0","R",".",".","10",".",".",".","7",".",".","0.6388383247","31.83203125",".","0",".","5","-1"
"166","0","1","08JUL2005","1","SM","21","3","H","1",".","3","1","161","9",".","21",".","0.2453958509","59.578125","1","0",".","5","2"
"175","1","0","08JUL2005","0","SO","20","2","P","1",".","5","1","1","0","0","9",".","0.0005284478","55.4453125",".","0","0","3","-1"
"174","1","0","08JUL2005","0","SO","17","0","P",".",".",".",".",".","4",".","2",".","0.2380429762","56.40625",".","0",".","5","-1"
"-190",".",".","08JUL2005","0","SD","28","0","R",".","500","26","4","75",".","11",".","496","0.0433898767","50.015625",".","0","0","3","-1"
"186","1","0","08JUL2005","160","SB","18",".","P",".",".",".",".",".","21","0","32",".","0","76.9375",".","0",".","5","-1"
"161","0","1","08JUL2005","0","SA","30","0","R",".",".",".",".",".",".",".",".",".","0",".",".","0",".","5","-1"
"176","1","0","08JUL2005","100","SN","26","0","",".","500","22","1","0","10","6","5",".","0.0897657545","50.25",".","0","0","3","3"
"167","1","0","08JUL2005","0","SL","22","5","P","1","700","1","1","1","23",".","33","1","0.1289645131","61.296875","2","1","275","3","1"
"-171",".",".","08JUL2005","0","SO","17","0","P",".",".",".",".",".","24","0","46",".","0.0334227048","51.125",".","0",".","5","-1"
"-183",".",".","08JUL2005","0","SA","20","1","R",".",".","23","1",".",".",".",".",".","0.2184336903","45.859375",".","0","0","3","-1"
"157","1","0","08JUL2005","0","SO","24","1","P",".",".",".",".",".",".",".",".",".","0","44.265625",".","0",".","5","-1"
"158","1","0","08JUL2005","0","SO","18",".","P",".",".","39","1",".","19",".","24",".","0.0531248706","74.8125",".","0","0","3","-1"
"-169",".",".","08JUL2005","0","SO","20","0","P",".",".","13","2","0","12","2","24",".","0.1349572488","68.65625","1","1","0","3","-1"
"194","1","0","08JUL2005","0","SC","18","0","P",".",".","7","1",".","23",".","76",".","0.1067583885","67.328125",".","0",".","5","-1"
"-198",".",".","09JUL2005","660","SA","25",".","P",".",".","18",".",".",".",".","3",".","0.014480763","77.171875",".","0",".","5","-1"
"213","1","0","09JUL2005","0","SC","20","2","P","1","6000","6","2","30","14","2","29",".","0.1214747704","64.234375","2","1","1950","3","0"
"-203",".",".","09JUL2005","0","SN","21","1","P",".",".",".",".",".","2","2","2",".","0.1106034394","47.3046875",".","0",".","5","-1"
"-216",".",".","09JUL2005","1","SD","40","2","H",".","18300","11","2","0",".","4",".","7006","0.0109608835","35.7421875",".","0","0","3","4"
"208","1","0","09JUL2005","0","SC","18","0","P",".","150","7","1",".","1","1","11","1","0","53.1015625",".","0","0","3","-1"
"-222",".",".","09JUL2005","500","SO","21",".","P",".","350","25","3","0","17",".","13","0","0.1028900587","70.140625","1","3","1034","3","-1"
"-215",".",".","09JUL2005","700","SO","19","0","P",".","500","9","4","254",".","0",".","681","0.319299262","64.84375","1","1","0","1","2"
"-218",".",".","09JUL2005","0","SO","20",".","",".",".",".",".",".",".",".","8",".","0.0746849158","21.703125",".","0",".","5","-1"
"210","1","0","09JUL2005","0","SC","20","1","R",".",".",".",".",".",".",".",".",".","0.2206156091","37.4609375",".","0",".","5","-1"
"-201",".",".","09JUL2005","640","SC","29","0","R",".",".","26","1",".",".",".",".",".","0.0538085662","47.21875",".","0","0","3","-1"
"-223",".",".","09JUL2005","0","SA","23","0","P",".","1850","14","2","30","24","4","49","992","0","59.1015625","1","1","0","3","-1"
"219","1","0","09JUL2005","1","SD","23",".","",".",".",".",".",".",".",".",".",".","0","28.2265625",".","0",".","5","-1"
"-199",".",".","09JUL2005","1","SM","22","4","R",".",".","58","1",".","8","4","31",".","0","63.5546875","1","1","827","3","3"
"212","1","0","09JUL2005","300","SK","21",".","R",".",".",".",".",".",".",".",".",".","0.0087860486","47.2421875",".","0",".","5","-1"
"217","1","0","09JUL2005","1","SO","23",".","R",".",".",".",".",".",".",".",".",".","0.3126287283","51.4375",".","0",".","5","-1"
"200","1","0","09JUL2005","0","SA","23","4","P",".","950","32","4","0","13","6","12","61","0.1053873827","47.828125","1","2","0","3","1"
"211","1","0","09JUL2005","260","SO","19",".","R","1",".","5",".",".",".",".",".",".","0.0460027052","46.8984375","1","0",".","5","2"
"197","1","0","09JUL2005","0","SK","25",".","P",".",".","65","1",".","27","7","6",".","0.0617304108","91.125",".","0","0","3","-1"
"205","0","1","09JUL2005","0","SD","19","1","R","2",".","4","1","230",".","0",".",".","0.356764555","40.765625","2","1","11","3","1"
"202","1","0","09JUL2005","2","SO","21",".","",".",".",".",".",".",".",".",".",".","0.1879235147","74.875","1","0",".","5","0"
"-249",".",".","12JUL2005","0","SF","21","1","P",".","200","11","3","46","8","4","4",".","0.4242882133","43.96875","1","2","0","1","4"
"236","1","0","12JUL2005","1","SO","31",".","R",".",".","40","1",".",".","0",".",".","0.258034437","38.53125",".","0","0","3","-1"
"-256",".",".","12JUL2005","0","SO","37","0","",".",".",".",".",".",".",".",".",".","0.3382996237","61.125","1","0",".","5","0"
"254","1","0","12JUL2005","0","SO","20","1","P",".",".",".",".",".",".",".",".",".","0.1185319114","49.265625",".","0",".","5","-1"
"-234",".",".","12JUL2005","0","SC","19","1","P",".",".",".",".",".","7","1","5",".","0.1239608447","63.9453125","1","0",".","5","0"
"231","1","0","12JUL2005","1","SA","22","4","P",".","400","25","1","0","18",".","51","373","0.0271141469","38.984375","1","1","725","3","0"
"235","1","0","12JUL2005","300","SO","19",".","P",".",".","14","1","19","11","0","34",".","0.0362955423","74.75","1","0","0","3","1"
"-233",".",".","12JUL2005","0","SH","28","0","P",".",".","25",".","1","17","10","9",".","0","57.5078125","1","0",".","5","0"
"-232",".",".","12JUL2005","0","SM","24","2","P",".",".","18","3",".","18","6","25",".","0","71.578125","1","2","1213","3","0"
"-248",".",".","12JUL2005","0","SM","20","1","P",".",".","9","2",".","12","2","15",".","0.0369781994","64.390625","1","1","0","3","4"
"-225",".",".","12JUL2005","1","SO","20","2","P",".",".","7","1","0",".","3","4",".","0","61.5625","1","0","0","3","1"
"-242",".",".","12JUL2005","0","SD","22","1","P",".",".","19","1",".","27","4","7",".","0","44.1875","1","0","0","3","1"
"230","1","0","12JUL2005","2","SO","19",".","P",".",".",".",".",".",".",".",".",".","0.1067439858","52.3515625","1","0",".","5","0"
"247","0","1","12JUL2005","0","SM","22","1","P",".",".",".",".",".","1","5",".",".","0","93","1","0",".","5","1"
"245","1","0","12JUL2005","0","SL","20","3","P",".","2350","23","2",".","0",".","2","247","0","57.21875","1","1","1920","3","1"
"244","0","1","12JUL2005","1000","SL","26","0","P",".","350","10","3","0","23","8","24","310","0.0258136083","29.3515625","1","0","0","3","1"
"240","0","1","12JUL2005","1","SD","23","1","R",".",".",".",".",".",".",".",".",".","0.0070633173","60.515625",".","0",".","5","-1"
"226","0","1","12JUL2005","0","FT","26","0","P",".",".",".",".",".",".",".",".",".","0",".",".","0",".","4","-1"
"250","1","0","12JUL2005","0","SF","19",".","R",".",".",".",".",".",".",".",".",".","0.3696014397","54.7421875",".","0",".","5","-1"
"-241",".",".","12JUL2005","0","SO","22","1","R","2",".","6","1","65",".",".",".",".","0.1734847398","57.5234375","3","1","504","3","1"
"275","0","1","13JUL2005","1","SO","20",".","P",".",".",".",".",".",".","0",".",".","0.2176024243","43.1328125","1","0",".","5","1"
"265","1","0","13JUL2005","1","SO","21",".","P",".","950","10","1","30","28","3","10",".","0.2730471147","60.953125",".","0","0","3","-1"
"-259",".",".","13JUL2005","540","SO","20",".","P",".",".","37","1",".",".",".",".",".","0.0155720986","40.59375","3","0",".","5","1"
"273","0","1","13JUL2005","0","SO","18","1","R",".",".",".",".",".",".",".",".",".","0",".",".","0",".","4","-1"
"-276",".",".","13JUL2005","0","SA","19","0","P",".",".",".",".",".",".",".",".",".","0.0525850855","36.203125",".","0",".","5","-1"
"-260",".",".","13JUL2005","0","SA","18","0","P",".",".","9","1",".","17","0","40",".","0","59.5390625",".","0","0","3","4"
"277","0","1","13JUL2005","600","SB","20",".","R",".",".",".",".",".",".",".",".",".","0.1916109626","71.09375",".","0",".","5","-1"
"-268",".",".","13JUL2005","0","SL","21","3","P","1","950","5","1","1","0","0","3",".","0.0285651879","69.5625","1","0","0","3","2"
"263","0","1","13JUL2005","0","SB","19","1","P",".",".","11",".","40","4","3","4",".","0.1868432141","30.79296875",".","0",".","5","-1"
"-278",".",".","13JUL2005","0","SB","18","1","P",".",".",".",".",".","4",".","5",".","0",".","1","0",".","5","0"
"-272",".",".","13JUL2005","2","SH","18","0","P",".",".","36","1",".","7","0","34",".","0.0569671206","73.421875",".","0","0","3","2"
"-280",".",".","13JUL2005","1","SO","19","0","","1",".","4","1","34",".","0",".",".","1.0710261688","54.859375",".","0","0","3","-1"
"274","1","0","13JUL2005","0","SB","30",".","R",".",".","11","1",".",".",".",".",".","0.1345534017","74.3125","1","0","0","3","1"
"-299",".",".","14JUL2005","700","SB","23",".","R",".",".","9","1",".",".",".",".",".","0.2263101987","58.9453125",".","0","0","3","-1"
"-319",".",".","14JUL2005","0","SO","17","0","",".",".",".",".",".",".",".","4",".","0.052284813","40.8515625",".","0",".","5","-1"
"309","0","1","14JUL2005","0","SO","30","0","R",".",".",".",".",".",".",".",".",".","0.339156392","38.8125",".","0",".","5","-1"
"301","1","0","14JUL2005","0","SH","19","1","P",".","500","9","3","30","23","2","10",".","0","57.390625","1","1","0","3","4"
"-313",".",".","14JUL2005","0","SO","21",".","P",".","500","27","1",".","7","4","33","155","0.0337905926","53.8125","1","1","1220","3","-1"
"-306",".",".","14JUL2005","0","SG","24","0","P",".",".","13","3","689","19","6","23",".","0.1391638997","61.0703125","3","0","0","3","1"
"311","1","0","14JUL2005","0","SF","17","0","P",".",".",".",".",".","6","0","12",".","0.0379615118","64.875",".","0",".","5","-1"
"-305",".",".","14JUL2005","1200","SN","23","2","P",".","800","9","4","46","25","5","81","776","0.1410351433","72.546875","1","2","1","3","3"
"294","1","0","14JUL2005","0","SO","19","1","P",".","250","12","1","1","22","1","10",".","0.0279518446","84.625","1","1","2","3","-1"
"298","0","1","14JUL2005","500","SB","21",".","R","1",".","3","1",".",".",".",".",".","0.6305130385","71.734375",".","0","0","3","-1"
"-290",".",".","14JUL2005","680","SD","27","0","H","1",".","2","2","0",".","7",".",".","0.4258581484","49.2734375","1","1","15","3","4"
"289","1","0","14JUL2005","1","SO","19","2","R",".",".",".",".",".",".",".",".",".","0.1207500766","67.140625",".","0",".","5","-1"
"-310",".",".","14JUL2005","0","SF","18","1","P","1","6600","4","2","130",".","10",".","0","0.0160215503","78.296875","2","1","0","3","2"
"308","1","0","14JUL2005","0","SM","23","5","R",".","100","13","2","0",".","3",".",".","0","35.234375","1","2","684","3","-1"
"283","1","0","14JUL2005","1","SL","26","99999","P","1","3200","6","3","0",".","9","5","1735","0.049869619","56.9296875","1","2","960","3","1"
"-317",".",".","14JUL2005","1","SD","20","0","P","1","2450","2",".","1","26","3","22",".","0.1863745833","55.5625","1","0",".","5","1"
"315","1","0","14JUL2005","1","SO","19","0","P","1",".","5","2","89","12","2","16",".","0.0954345851","75.90625",".","0","0","3","-1"
"304","1","0","14JUL2005","0","SF","18","0","P","1",".","2",".","25",".","0",".",".","0.0682869942","24.45703125","1","0",".","5","0"
"291","0","1","14JUL2005","0","SA","20","2","R",".",".",".",".",".",".",".",".",".","0.0638384211","79.234375",".","0",".","5","-1"
"307","1","0","14JUL2005","2","SA","21","1","P",".",".","44","1",".",".","2",".",".","0.0916146927","37.7890625",".","0","0","3","-1"
"286","1","0","14JUL2005","0","SB","18",".","P",".",".","53","1",".","9","0","13",".","0.4232385475","31.06640625",".","0","0","3","-1"
"-303",".",".","14JUL2005","300","SL","33","0","R",".",".","34","1",".",".",".",".",".","0.0027157705","23.74609375","1","0","0","3","1"
"295","1","0","14JUL2005","400","FT","44",".","R",".","2100","28",".","0",".",".",".","1210","0.1088483338","48.375",".","0",".","5","-1"
