"","GOOD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","NewFeature1","NewFeature2"
"18","0","JUL2005",0,"SO",22,"0","P",-2.43953005944301e-14,374.333333333333,22.2,1.26,73.0933333333333,13.5,2.92666666666667,19.3933333333333,325.262666666667,0,59.897890625,0,0,8.87333333333259,"4",12,0.47425688021193,-336.866666666667
"19","1","JUL2005",0,"SO",16,"0","P",0.00666666666664284,296.333333333333,16.32,1.02666666666667,10.5733333333333,3,0.316666666666667,3,191.2,0,51.2734375,0,0,-9.53074656232881e-13,"5",12,0.42089763878437,-247.913333333333
"20","0","JUL2005",0,"SC",21,"1","P",1,3300,4,1,95,23,2,18,248,0.0430592234,69.640625,1,1,2970,"3",3,0.0751515151515151,-3052
"21","0","JUL2005",0,"SA",20,"1","P",0,950,13,2,39,20,1,22,584.106666666667,0.0830125867,74.921875,1,1,0,"3",0,0.514625705576626,-495.753333333333
"22","0","JUL2005",420,"SO",21,"1","R",0,250,18,2,118.646666666667,11,2.52666666666667,15,0,0.0473788973,38.234375,1.13333333333333,0,0,"3",2,0,-250
"24","1","JUL2005",1,"SO",21,"1","R",0.00666666666664371,511.333333333333,19.5081481481481,1.09333333333333,6.94666666666667,13.4633333333333,1.02666666666667,14.2933333333333,305.54,0,40.21875,0,0,0.0133333333325019,"5",12,0.380569176104018,-420.37
"25","0","JUL2005",700,"SN",21,"0","R",1,500,4,1.48,130.026666666667,11.4666666666667,0,23.2266666666667,526,0.031742534,70.828125,0,0,29.0999999999994,"5",12,1.052,26
"27","0","JUL2005",0,"SD",20,"1","P",0,241,22,1,136.353333333333,5.88833333333333,1.61333333333333,3,276.58,0.325250065,31.40625,2,0,0,"3",0,0.517849404177307,-228.88
"29","1","JUL2005",0,"SO",22,"3","P",0,950,10,2,0,16,4,16,538.366666666667,0.1443335731,50.1796875,1,2,2119,"3",0,0.409055237037382,-820.626666666667
"32","0","JUL2005",0,"SC",21,"1","P",0,407,11,1.97333333333333,297,4,5,17,442.713333333333,0.2441240083,55.71875,1.20666666666667,0,86.9466666666667,"5",4,0.588584884076145,-342.46
"37","1","JUL2005",1000,"SE",22,"1","R",-2.22925381857901e-14,734.666666666667,20.7066666666667,1.23333333333333,28.6266666666667,3.58666666666667,1.36666666666667,7.15333333333333,558.341666666667,0,44.2489973958333,0,0,0.353333333332639,"4",12,0.5461269987046,-447.446666666667
"38","1","JUL2005",1,"SF",22,"0","P",0,669,17,1.27333333333333,45,3,4,10,580.662666666667,0.1748244725,67.03125,0,0,0.973333333332588,"5",12,0.515127052460883,-552.14
"42","1","JUL2005",0,"SA",19,"1","P",0,156.666666666667,13,1,40,3,2,12,179.466666666667,0.0284230103,58.296875,0,0,0,"3",12,0.495104633449777,-174.76
"44","0","JUL2005",0,"FT",22,"1","R",-2.2779556019259e-14,430,19.0666666666667,1.16,80.6266666666667,5.30666666666667,1.45333333333333,8.76666666666667,392.366666666667,0.0791726275,44.8649348958333,0,0,6.2866666666659,"5",12,0.511733575071621,-363.886666666667
"47","0","JUL2005",0,"SL",19,"1","P",1,200,1,1,70.65,11,0,7,0,0.1267379709,68.09375,0,0,0,"3",12,0,-200
"49","1","JUL2005",1,"SO",18,"0","P",0.00666666666664323,146.333333333333,17.5866666666667,1,49.18,11,0,23,204.226666666667,0.1678808331,58.375,0,0,1.53999999999902,"5",12,0.537876354873398,-170.306666666667
"51","1","JUL2005",140,"FT",17,"0","P",1.16,887.333333333333,4.38666666666667,1.48,21.2933333333333,12.6066666666667,0.906666666666667,23.36,555.353333333333,0,67.78125,1,0,74.0066666666667,"5",1,0.435983418071814,-677.24
"52","1","JUL2005",1,"SC",23,"6","R",0,1900,30,1,22.2066666666667,13.5533333333333,0,27.5666666666667,0,0.0776888279,68.328125,1,0,0,"3",0,0,-1900
"54","1","JUL2005",0,"SO",23,"4","R",0,661.666666666667,8,1.22,0,3.73333333333333,2,8.84,521.633333333333,0,59.84375,1.06,0,197.966666666667,"5",3,0.513487868402415,-464.15
"56","1","JUL2005",1,"SL",17,"0","R",0.0266666666666442,805,28.0606666666667,1.06666666666667,13.4133333333333,15.4,0.313333333333333,20.1133333333333,435.913333333333,0,30.25390625,0,0,1.07999999999915,"5",12,0.397053272523509,-667.426666666667
"58","1","JUL2005",0,"SG",20,"2","P",1,750,6,1,16.22,11,2.79333333333333,63,62,0.0065730454,63.9296875,1,1,354,"3",2,0.0826666666666667,-688
"59","0","JUL2005",0,"SO",30,"1","P",0,950,14,1,141.313333333333,24,11,37,682,0.0527717074,78.921875,0,0,0,"3",12,0.717894736842105,-268
"60","1","JUL2005",1,"SL",22,"0","P",0,1500,19,1,19.8666666666667,19,6,93,0,0.1978847003,49.640625,0,0,0,"3",12,0,-1500
"61","0","JUL2005",0,"SD",21,"0","R",0,362,11,2.16,635,6.69333333333333,2.08666666666667,10.7533333333333,443.5,0.0710863429,29.73828125,1,0,59.9333333333333,"5",2,0.690652686561961,-168.533333333333
"62","0","JUL2005",1,"SD",29,"1","H",0,100,83,2,171.4,11.1066666666667,0,19.5133333333333,768.426666666667,0.3677603146,63.859375,0,0,0,"3",12,0.740552241831526,-299.24
"64","1","JUL2005",0,"SO",18,"0","P",0.00933333333330921,147.666666666667,20.6521212121212,1.00666666666667,39.4288888888889,12,0,8,186.72,0,64.421875,0,0,0.806666666665696,"5",12,0.51575908509614,-190.913333333333
"67","0","JUL2005",0,"SA",23,"0","R",-2.32876680901957e-14,357.666666666667,24.2066666666667,1.14,69.78,4.52666666666667,1.24666666666667,8.78666666666667,401.906666666667,0.1037878948,53.7265625,0,0,2.53666666666586,"5",12,0.586919302440764,-246.92
"68","0","JUL2005",0,"SA",21,"4","P",0,950,11,2,125.02,13,5.09333333333333,44,1116,0.0387659803,47.0859375,2,1,1320,"3",1,1.17473684210526,166
"73","1","JUL2005",960,"SM",46,"0","R",1,950,3,3,62.0666666666667,5,0,2,805,0,43.2265625,2,0,0,"3",1,0.847368421052632,-145
"74","1","JUL2005",1,"SL",22,"4","R",0,350,16,1.31333333333333,21.9933333333333,12.56,2,22.5566666666667,0,0.0875395227,48.28125,0,0,82.7733333333328,"5",12,0,-350
"75","0","JUL2005",0,"SB",19,"1","R",-2.23325062146766e-14,201.333333333333,18.6333333333333,1.08,79.9866666666667,10.5733333333333,1.02666666666667,23.51,240.886666666667,0.2540849233,71.3125,0,0,1.87999999999906,"5",12,0.538734913470374,-192.566666666667
"77","1","JUL2005",0,"SO",18,"0","P",0.0133333333333094,299.777777777778,15.02,1.06,4.7,26,0.22,4,172.78,0.0270535915,50.9765625,0,0,0.726666666665754,"5",12,0.400157999400931,-292.106666666667
"80","0","JUL2005",0,"SO",28,"1","R",1.08666666666667,327,3.46,1.2,78.5333333333333,4.8,1.09333333333333,9.99333333333333,380.613333333333,0.3383732364,65.84375,1,0,37.76,"5",1,0.81418959124323,-103.086666666667
"81","1","JUL2005",1,"SL",19,"1","P",0,500,10,2,44,9,0,22,0,0.0994428329,68.78125,2,2,1150,"3",0,0,-500
"83","1","JUL2005",0,"SO",20,"1","P",1.39333333333333,280.333333333333,3.98666666666667,1.3,31.9516666666667,2,1.36,15,212.54,0,9.8125,1,0,42.4266666666667,"5",1,0.494533205196919,-429.92
"86","1","JUL2005",0,"FT",22,"1","R",-2.32095824041304e-14,760.333333333333,21.4716666666667,1.08666666666667,15.5133333333333,4.24666666666667,1.17333333333333,7.04666666666667,543.213333333333,0.0967883989,44.33421875,0,0,8.89333333333255,"5",12,0.492017905298095,-540.493333333333
"87","0","JUL2005",0,"SO",19,"1","P",0.0199999999999767,3879.66666666667,45.6866666666667,1.98666666666667,209.446666666667,16,26,4,1909.07666666667,0,17.1328125,0,0,140.446666666666,"5",12,0.450359037165262,-2721.76
"88","0","JUL2005",1,"SC",19,"1","P",0.0066666666666434,2156.33333333333,26.8333333333333,2.28,215.26,11.58,10,10,1452.62,0.3780874815,28.35546875,1.18666666666667,0,632.446666666667,"5",4,0.491864365783302,-1478.42
"89","0","JUL2005",0,"SB",22,"3","P",1,3450,2,2,25,1,2,11,1480.17333333333,0.1119794536,53.484375,1,2,3809,"3",1,0.397399403813832,-3134.65666666667
"97","1","JUL2005",1,"SO",29,"1","R",0.0199999999999783,1160.16666666667,23.5733333333333,1.31333333333333,11.0044444444444,1.55333333333333,0.773333333333333,4.81333333333333,886.886666666667,0.2099019224,60.078125,0,0,5.17999999999938,"5",12,0.570759302623994,-626.98
"100","1","JUL2005",1,"SD",18,"0","P",0.00666666666664302,292.333333333333,13.2369523809524,1.32,8.63333333333333,15,2,53,220.653333333333,0.0246184738,55.578125,0,0,3.65333333333241,"5",12,0.431288587304034,-285.866666666667
"102","0","JUL2005",0,"SO",23,"1","P",-2.43586632346175e-14,312.666666666667,21.4,1.1,80.3066666666667,9.56,2.04666666666667,13,280.456,0.0325951611,40.953125,0,0,1.79999999999914,"5",12,0.454537182849253,-271.066666666667
"104","1","JUL2005",0,"SA",19,"0","P",0,150,9,2,9.94,7,3,23,220.677777777778,0.0982507756,83.9375,1,1,0,"3",1,0.464173774262245,-322.74
"106","1","JUL2005",1,"SB",20,"1","P",-2.39452901951154e-14,961.333333333333,32.0625,1.28666666666667,38.34,15,15,7,1138.00666666667,0.0650839009,64.1875,0,0,4.1999999999994,"5",12,0.541217258118033,-617.18
"111","1","JUL2005",0,"SC",36,"1","H",0,4700,17,1.54,21.7933333333333,12.7433333333333,1,19.08,124,0.0278516425,80.25,0,0,80.8799999999995,"5",12,0.0263829787234043,-4576
"114","0","JUL2005",0,"SA",30,"0","R",0.00666666666664497,475.333333333333,24.8,1.28666666666667,114.553333333333,4.36,0.986666666666667,5.74666666666667,580.02,0,46.9709375,0,0,12.5999999999994,"5",12,0.632188945681225,-218.666666666667
"115","0","JUL2005",2,"SC",20,"1","P",1,750,2,1,271,1,0,13,0,0.2038313127,72.171875,1,0,0,"3",0,0,-750
"116","1","JUL2005",1,"SK",18,"0","P",0,402.333333333333,33,1,43.12,27,0,10,485.846666666667,0,46.4296875,0,0,0,"3",12,0.608807215641208,-243.293333333333
"118","1","JUL2005",0,"SO",18,"0","P",1,100,4,1,52.89,11.5933333333333,0.666666666666667,20.2166666666667,124,0.0924624477,27.51953125,1,0,0,"3",1,1.24,24
"120","0","JUL2005",1,"SM",21,"3","H",1,3774.33333333333,3,1,161,9,2.9,21,1280.78,0.2453958509,59.578125,1,0,1409.90666666667,"5",2,0.375248378070296,-2974.24666666667
"121","1","JUL2005",0,"SO",20,"2","P",1,349.666666666667,5,1,1,0,0,9,225.88,0.0005284478,55.4453125,0,0,0,"3",12,0.445862297491509,-303.37
"122","1","JUL2005",0,"SO",17,"0","P",0.00666666666664281,165,19.6515555555556,1.00666666666667,45.4866666666667,4,0.22,2,212.82,0.2380429762,56.40625,0,0,1.81999999999907,"5",12,0.606407118309483,-149.353333333333
"124","1","JUL2005",160,"SB",18,"0","P",0.00666666666664343,182.333333333333,18.77,1.04666666666667,52.7,21,0,32,264.433333333333,0,76.9375,0,0,2.34666666666569,"5",12,0.533921325663057,-211.366666666667
"125","0","JUL2005",0,"SA",30,"0","R",0.00666666666664497,475.333333333333,24.8,1.28666666666667,114.553333333333,4.36,0.986666666666667,5.74666666666667,580.02,0,46.9709375,0,0,12.5999999999994,"5",12,0.632188945681225,-218.666666666667
"126","1","JUL2005",100,"SN",26,"0","P",0,500,22,1,0,10,6,5,686.38,0.0897657545,50.25,1.14,0,0,"3",3,0.488923741359399,-820.853333333333
"127","1","JUL2005",0,"SL",22,"5","P",1,700,1,1,1,23,5.11333333333333,33,1,0.1289645131,61.296875,2,1,275,"3",1,0.00142857142857143,-699
"130","1","JUL2005",0,"SO",24,"1","P",-2.42531920472781e-14,1404.16666666667,24.8933333333333,1.49333333333333,6.02,15.0066666666667,3.73333333333333,19.2933333333333,627.9,0,44.265625,0,0,2.63999999999937,"5",12,0.344518311707482,-1124.12666666667
"131","1","JUL2005",0,"SO",18,"0","P",0,1229.83333333333,39,1,7.64666666666667,19,0.58,24,517.166666666667,0.0531248706,74.8125,0,0,0,"3",12,0.311992716186491,-1361.66666666667
"133","1","JUL2005",0,"SC",18,"0","P",0,318.111111111111,7,1,6.22666666666667,23,0.76,76,189.673333333333,0.1067583885,67.328125,0,0,-9.30716244814297e-13,"5",12,0.381953601136279,-328.5
"135","1","JUL2005",0,"SC",20,"2","P",1,6000,6,2,30,14,2,29,2170.27555555556,0.1214747704,64.234375,2,1,1950,"3",0,0.396287085553825,-3398.29333333333
"138","1","JUL2005",0,"SC",18,"0","P",0,150,7,1,22.5388888888889,1,1,11,1,0,53.1015625,0,0,0,"3",12,0.00666666666666667,-149
"142","1","JUL2005",0,"SC",20,"1","R",0.0133333333333106,579.333333333333,20.7733333333333,1.08666666666667,10.3,14.7733333333333,0.88,17.3066666666667,288.32,0.2206156091,37.4609375,0,0,1.05333333333249,"5",12,0.374539093326621,-472.46
"145","1","JUL2005",1,"SD",23,"1","R",-2.33853677163628e-14,902,25.1227777777778,1.03333333333333,24.1466666666667,2.8,1.26,6.29333333333333,656.552777777778,0,28.2265625,0,0,3.91333333333258,"5",12,0.544428059377235,-463.346666666667
"147","1","JUL2005",300,"SK",21,"2","R",0.00666666666664414,550,18.1733333333333,1.1,9.54,12.3533333333333,1.02,18.1133333333333,358.88,0.0087860486,47.2421875,0,0,12.666666666666,"5",12,0.42366854451794,-465.473333333333
"148","1","JUL2005",1,"SO",23,"1","R",0.0133333333333102,646.666666666667,18.0306666666667,1.04,10.32,1.68666666666667,0.44,5.94,471.322222222222,0.3126287283,51.4375,0,0,2.05333333333253,"5",12,0.474801209596364,-503.726666666667
"149","1","JUL2005",0,"SA",23,"4","P",0,950,32,4,0,13,6,12,61,0.1053873827,47.828125,1,2,0,"3",1,0.0642105263157895,-889
"150","1","JUL2005",260,"SO",19,"0","R",1,340.333333333333,5,1.25333333333333,9.94666666666667,14.6133333333333,0.986666666666667,21,208.726666666667,0.0460027052,46.8984375,1,0,33.3666666666666,"5",2,0.409398039688974,-311.273333333333
"151","1","JUL2005",0,"SK",25,"0","P",0,1511.33333333333,65,1,172.326666666667,27,7,6,1287.01333333333,0.0617304108,91.125,0,0,0,"3",12,0.640168075199707,-757
"152","0","JUL2005",0,"SD",19,"1","R",2,229.666666666667,4,1,230,8.28666666666667,0,12.66,241.78,0.356764555,40.765625,2,1,11,"3",1,0.597937606585208,-215.906666666667
"153","1","JUL2005",2,"SO",21,"3","P",0.00666666666664191,615.666666666667,20.3866666666667,1.15222222222222,13.7133333333333,12.9333333333333,2.88,24,394.5,0.1879235147,74.875,1,0,178.206666666667,"5",0,0.408869480768606,-458.093333333333
"155","1","JUL2005",1,"SO",31,"1","R",0,1120.83333333333,40,1,17.4266666666667,1.84,0,5.50666666666667,819.407222222222,0.258034437,38.53125,0,0,0,"3",12,0.54056225275525,-669.653333333333
"157","1","JUL2005",0,"SO",20,"1","P",0.0399999999999769,262,13.6466666666667,1.04,7.42,10.84,1.25333333333333,13.3088888888889,148.006666666667,0.1185319114,49.265625,0,0,8.7999999999991,"5",12,0.349389624353422,-261.413333333333
"159","1","JUL2005",1,"SA",22,"4","P",0,400,25,1,0,18,3.49333333333333,51,373,0.0271141469,38.984375,1,1,725,"3",0,0.9325,-27
"160","1","JUL2005",300,"SO",19,"0","P",0,292.333333333333,14,1,19,11,0,34,173.693333333333,0.0362955423,74.75,1,0,0,"3",1,0.410248577895715,-237.026666666667
"166","1","JUL2005",2,"SO",19,"0","P",0.0199999999999745,193.333333333333,13.8,1.06,26.7066666666667,12.6133333333333,0.753333333333333,15.5644444444444,201.426666666667,0.1067439858,52.3515625,1,0,9.73333333333324,"5",0,0.431096197606083,-203.316666666667
"167","0","JUL2005",0,"SM",22,"1","P",0.0066666666666424,721,22.58,2.13333333333333,289.186666666667,1,5,13.3133333333333,739.633333333333,0,93,1,0,173.973333333333,"5",1,0.581137253878709,-419.173333333333
"168","1","JUL2005",0,"SL",20,"3","P",0,2350,23,2,19.0466666666667,0,3.32666666666667,2,247,0,57.21875,1,1,1920,"3",1,0.105106382978723,-2103
"169","0","JUL2005",1000,"SL",26,"0","P",0,350,10,3,0,23,8,24,310,0.0258136083,29.3515625,1,0,0,"3",1,0.885714285714286,-40
"170","0","JUL2005",1,"SD",23,"1","R",0.0133333333333107,357.333333333333,23.52,1.26666666666667,120.76,4.13333333333333,1.37333333333333,9.14,438.146666666667,0.0070633173,60.515625,0,0,4.88666666666591,"5",12,0.647447512050179,-165.166666666667
"171","0","JUL2005",0,"FT",26,"0","P",-2.38324175209452e-14,699.333333333333,23.6533333333333,1.51333333333333,99.3977777777778,12.46,3.12666666666667,16.22,560.249333333333,0,53.2334114583333,0,0,25.6999999999993,"4",12,0.510433602720829,-491.866666666667
"172","1","JUL2005",0,"SF",19,"1","R",0.00666666666664363,520.666666666667,18.3666666666667,1.07333333333333,5.98666666666667,13.8933333333333,0.94,19.6266666666667,319.873333333333,0.3696014397,54.7421875,0,0,1.4666666666658,"5",12,0.3809898104374,-511.866666666667
"174","0","JUL2005",1,"SO",20,"0","P",1.11333333333333,191,4.42,1.2,43.16,9.53333333333333,0,16.1266666666667,169.466666666667,0.2176024243,43.1328125,1,0,10.2533333333333,"5",1,0.491524891443656,-159.533333333333
"175","1","JUL2005",1,"SO",21,"2","P",0,950,10,1,30,28,3,10,512.064333333333,0.2730471147,60.953125,0,0,0,"3",12,0.433475407487647,-687.28
"177","0","JUL2005",0,"SO",18,"1","R",0.00666666666664394,251,21.1933333333333,1.06,73.0883333333333,13.0866666666667,0.353333333333333,19.1733333333333,267.066666666667,0,50.0710416666667,0,0,3.79333333333236,"4",12,0.472078987299965,-238.786666666667
"180","0","JUL2005",600,"SB",20,"2","R",0.00666666666664505,214.333333333333,19.3866666666667,1.15333333333333,86.08,10.88,1.22666666666667,23.3433333333333,311.653333333333,0.1916109626,71.09375,0,0,3.87333333333266,"5",12,0.569335115859445,-251.453333333333
"182","0","JUL2005",0,"SB",19,"1","P",0,208.333333333333,11,1.28,40,4,3,4,239.74,0.1868432141,30.79296875,0,0,4.35999999999916,"5",12,0.546233413709427,-203.653333333333
"186","1","JUL2005",0,"SB",30,"1","R",0,683.666666666667,11,1,14.3511111111111,2.56666666666667,1.01333333333333,8.24666666666667,774.646666666667,0.1345534017,74.3125,1,0,0,"3",1,0.598431156608322,-412.913333333333
"189","0","JUL2005",0,"SO",30,"0","R",-2.11416069835953e-14,382,22.6685714285714,2.06,210.42,4.66666666666667,1.88666666666667,6.66533333333333,575.433333333333,0.339156392,38.8125,0,0,5.57333333333267,"5",12,0.642708574825812,-177.513333333333
"190","1","JUL2005",0,"SH",19,"1","P",0,500,9,3,30,23,2,10,357.508,0,57.390625,1,1,0,"3",4,0.431872642624249,-430.473333333333
"193","1","JUL2005",0,"SF",17,"0","P",1.03333333333333,306.222222222222,5.34666666666667,1.1,9.49333333333333,6,0,12,208.176666666667,0.0379615118,64.875,0,0,1.35999999999905,"5",12,0.422472426847813,-296.186666666667
"195","1","JUL2005",0,"SO",19,"1","P",0,250,12,1,1,22,1,10,187.666666666667,0.0279518446,84.625,1,1,2,"3",1.22833333333333,0.424146768617602,-291.626666666667
"196","0","JUL2005",500,"SB",21,"1","R",1,298.333333333333,3,1,101.853333333333,11.34,1.60666666666667,28.4066666666667,312.38,0.6305130385,71.734375,0,0,0,"3",12,0.514805051578465,-334.72
"198","1","JUL2005",1,"SO",19,"2","R",0.0133333333333103,300.333333333333,14.3266666666667,1.14666666666667,6.21333333333333,13.88,0.973333333333333,20.7366666666667,234.006666666667,0.1207500766,67.140625,0,0,1.23333333333261,"5",12,0.38357238250026,-352.886666666667
"200","1","JUL2005",0,"SM",23,"5","R",0,100,13,2,0,7.57333333333333,3,15.3,566.486666666667,0,35.234375,1,2,684,"3",2.15333333333333,0.632448289961558,-356.673333333333
"201","1","JUL2005",1,"SL",26,"1","P",1,3200,6,3,0,14.2466666666667,9,5,1735,0.049869619,56.9296875,1,2,960,"3",1,0.5421875,-1465
"203","1","JUL2005",1,"SO",19,"0","P",1,350.666666666667,5,2,89,12,2,16,289.488,0.0954345851,75.90625,0,0,0,"3",12,0.507460855482896,-314.126666666667
"204","1","JUL2005",0,"SF",18,"0","P",1,275.666666666667,2,1.18666666666667,25,10.8733333333333,0,15.52,217.046666666667,0.0682869942,24.45703125,1,0,12.3333333333333,"5",0,0.44774874160005,-247.33
"205","0","JUL2005",0,"SA",20,"2","R",0.00666666666664392,211,17.9,1.16666666666667,81.8733333333333,10.4,1.12666666666667,24.9966666666667,303.793333333333,0.0638384211,79.234375,0,0,0.686666666665951,"5",12,0.539847437341262,-249.353333333333
"206","1","JUL2005",2,"SA",21,"1","P",0,577,44,1,10.0866666666667,14.7733333333333,2,20.4933333333333,327.093333333333,0.0916146927,37.7890625,0,0,0,"3",12,0.375510664966515,-537.346666666667
"207","1","JUL2005",0,"SB",18,"0","P",0,1141.66666666667,53,1,41.4133333333333,9,0,13,623.24,0.4232385475,31.06640625,0,0,0,"3",12,0.487670173960326,-890.753333333333
"209","1","JUL2005",400,"FT",44,"1","R",0,2100,28,1.55333333333333,0,7.11333333333333,4.25333333333333,7.32666666666667,1210,0.1088483338,48.375,0,0,21.6733333333327,"5",12,0.576190476190476,-890
"212","0","JUL2005",0,"SC",18,"0","P",-2.40988710468552e-14,173.333333333333,22.56,1.02,75.8533333333333,8.44,0.2,9,191.366666666667,0,34.203125,0,0,0.639999999999077,"5",12,0.497751435578114,-158.393333333333
"218","1","JUL2005",1,"SA",21,"1","P",0,281.333333333333,13,1.14666666666667,1,3,1.56,13,269.626666666667,0.0949819081,34.2265625,0,0,-8.83157251034087e-13,"5",12,0.465197780113399,-268.743333333333
"221","1","JUL2005",1,"SO",21,"1","P",0.00666666666664292,285.666666666667,15.2666666666667,1.08666666666667,7.9,21,1.52,13,230.72,0.2622215869,33.2578125,0,0,-8.72546479513403e-13,"5",12,0.395319661324494,-307.403333333333
"225","1","JUL2005",800,"SB",45,"1","R",0,250,18,2,40,6.26666666666667,6,9.34666666666667,465,0.2662298642,38.671875,0,0,68.2066666666661,"5",12,1.86,215
"226","1","JUL2005",11,"SD",18,"1","P",0,787.333333333333,15,2,8.76666666666667,13.05,0.86,1,420.693333333333,0.3506224779,55.28125,1,1,0,"3",2,0.447629679897938,-617.89
"232","1","JUL2005",0,"SA",19,"1","P",0,100,15,1,39.6511111111111,0,0,3,233.933333333333,0,80.546875,0,0,0,"3",12,0.539338510085946,-228.065
"233","0","JUL2005",0,"SB",18,"1","P",0.0199999999999754,171.333333333333,15.92,1.05333333333333,50.6266666666667,4,0.286666666666667,5,195.58,0,56.1391015625,1,0,15.2266666666666,"5",0,0.482353321106908,-196.046666666667
"234","0","JUL2005",0,"SO",20,"1","P",1,216.666666666667,5,1,0,1,1.44,6,239.106666666667,0.0471019316,57.4609375,0,0,0,"3",12,0.47672136710252,-249.653333333333
"235","0","JUL2005",320,"SN",20,"1","P",1,1100,5,2,0,6,3,12,691.973333333333,0.0602993299,78.640625,2,1,0,"3",2,0.481618757731192,-838.18
"236","1","JUL2005",1540,"FT",38,"0","R",-2.10494584725514e-14,1199.33333333333,30.2466666666667,1.76,128.033333333333,4.9,3.29333333333333,7.17333333333333,998.006666666667,0.0897912448,51.609375,0,0,54.8199999999995,"5",12,0.609388074214799,-644.313333333333
"237","0","JUL2005",0,"SO",18,"0","P",0,157.333333333333,28,1,93.46,11.2633333333333,0.333333333333333,19.1955555555556,254.706666666667,0.0769873261,31.10546875,0,0,0,"3",12,0.556670169994826,-180.706666666667
"239","1","JUL2005",0,"SE",18,"0","P",0.019999999999976,550.333333333333,17.6666666666667,1.07333333333333,5.54666666666667,14.62,0.36,18.0466666666667,314.233333333333,0.3860725453,57.9296875,0,0,0.0399999999991475,"5",12,0.386194740278935,-532.933333333333
"240","1","JUL2005",0,"SO",16,"0","P",0.0399999999999773,252.333333333333,12.8666666666667,1.02666666666667,12.96,11,0.186666666666667,16,151.28,0.0563377071,27.62109375,0,0,8.82666666666574,"5",12,0.343862105484512,-267.36
"245","1","JUL2005",0,"SL",20,"1","P",1,500,3,1,3.85333333333333,12,1.73333333333333,9,242.706666666667,0,67.9375,0,0,0,"3",12,0.390699364395665,-365.643333333333
"246","1","JUL2005",0,"SO",23,"2","R",-2.30959695812771e-14,822.666666666667,22.49,1.18666666666667,7.5,14.88,3.02,19.92,451.6,0.1116264029,77.203125,0,0,0.0666666666660509,"5",12,0.380402568927146,-685.02
"247","0","JUL2005",0,"SO",21,"2","P",0,1450,19,2,104.693333333333,4,2.89333333333333,1,590.553333333333,0,43.1171875,1,1,1107,"3",3,0.387826255091543,-996.966666666667
"249","1","JUL2005",0,"SM",20,"2","P",1.06666666666667,832.933333333333,6,1.22666666666667,0,10,1,6,450.513333333333,0.5524016619,55.8203125,0,0,17.5933333333327,"5",12,0.412664497567985,-604.206666666667
"250","1","JUL2005",1,"SF",20,"1","R",0,500,12,1,0,13.9133333333333,1.62666666666667,22.1833333333333,419.366666666667,0.2014797474,67.796875,1,1,360,"3",1.78666666666667,0.448428501395267,-495.98
"251","1","JUL2005",480,"SO",23,"5","P",0,200,14,2,25,14,5,12,465.1,0,81,1,2,72,"3",1.88666666666667,0.614234526525379,-324.893333333333
