"","GOOD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"35","1","JUL2005",260,"SO",19,1.08,"P",1.11333333333333,502.416666666667,10.1577777777778,1.09333333333333,8.86333333333333,10,1.28,8,145.429166666667,0,44.4453125,1.04,0,1.79333333333287,"5",3.24666666666667
"36","0","JUL2005",0,"SA",24,0,"R",1.32,571.666666666667,22,2,86.1466666666667,6.41888888888889,1,11.6933333333333,510.587777777778,0.0946957718,45.8359375,1,1,0,"2",0.96
"39","0","JUL2005",1,"SD",19,0,"P",1.13333333333333,429.666666666667,25.9066666666667,1.08444444444444,40.1666666666667,7.66,0.706666666666667,4,365.78,0,75.859375,1.05333333333333,0,9.95333333333298,"5",2.41333333333333
"40","0","JUL2005",0,"SO",20,0,"P",1.14666666666667,248,19,1,110,6,1,14,262.14,0.0577998961,47.03125,1,0,0,"3",1
"41","1","JUL2005",0,"SM",19,0,"P",1.1,300,15,1.21333333333333,27.6688888888889,12,3,27,231.55,0.0482738595,77.671875,1.02666666666667,0,62.533333333333,"5",2.45333333333333
"43","1","JUL2005",1,"SF",20,1,"P",1.16,550,6,2,0,15,1,27,0,0.113545652,71.828125,1,2,63,"3",1.92944444444444
"45","1","JUL2005",600,"SC",22,2.90888888888889,"P",1.28666666666667,932.333333333333,23.88,1.66,16.74,11.9133333333333,3.59333333333333,15.1911111111111,437.853333333333,0.0453811525,23.234375,1,0,411.493333333333,"5",0
"46","1","JUL2005",0,"SM",38,4,"H",1.15333333333333,950,18,1,0,5.03333333333333,0,10.7533333333333,810.586666666667,0,54.8738997395833,1.08,0,0,"3",2.59333333333333
"48","0","JUL2005",0,"SO",22,1,"P",1.27333333333333,150,14,1,61,12.2433333333333,3.60888888888889,30,0,0,48.7265625,1,1,513,"3",1.3
"50","1","JUL2005",0,"SO",20,0,"P",1.27333333333333,568.222222222222,13,1,34,12,3,53,269.613333333333,0,76.234375,1,0,0,"3",0
"53","0","JUL2005",800,"SO",23,0,"P",6,1500,5,13,369.913333333333,17,6.24666666666667,76,1638.5,0,70.03125,5,8,1454,"3",0
"55","0","JUL2005",1,"SB",20,2,"P",1.24666666666667,503.888888888889,36,1,96.7866666666667,11.9833333333333,1.58666666666667,27.0166666666667,388.763333333333,0.1601267522,75.828125,2,0,0,"3",0
"57","1","JUL2005",800,"SH",20,1.53333333333333,"P",1.26,50,15,1,1,11,1.81333333333333,11,245.661333333333,0,47.0078125,1,1,42,"3",0
"63","1","JUL2005",0,"SO",19,0.637777777777778,"P",1.12,643.222222222222,12.8888888888889,1.29333333333333,7.99333333333333,9,2,4,205.782666666667,0.1249696335,72.109375,1,0,40.9266666666666,"5",1.19333333333333
"65","1","JUL2005",500,"SO",21,1.42,"R",1.12,799,18.2266666666667,1.15333333333333,7.64266666666667,2.88666666666667,0.8,7.31333333333333,372.853333333333,0.0121719835,52.2890625,1.05333333333333,0,5.27333333333293,"5",2.65333333333333
"66","1","JUL2005",120,"SB",19,0.763333333333333,"P",1.22,685.222222222222,9,2,48.5044444444444,13,1.58666666666667,57,412.923333333333,0,34.359375,1,1,0,"1",2.15333333333333
"69","1","JUL2005",0,"SC",18,0,"P",1.22444444444444,100,9,1,0,16,0,28,96.4866666666667,0.2982739927,48.890625,1,1,6,"3",3
"70","1","JUL2005",0,"SE",18,0.28,"P",1.10666666666667,357.5,35.0118518518519,1.04666666666667,22.8,18,0,10,227.545833333333,0,86.953125,1,0,4.7799999999995,"5",0.656666666666667
"71","1","JUL2005",400,"SB",18,0.506666666666667,"P",1,545.666666666667,1,1.22666666666667,0,4,0.526666666666667,5,248.281904761905,0.0950659849,35.953125,1,0,18.9133333333333,"5",1
"72","1","JUL2005",0,"SO",23,2,"P",1.17333333333333,678.466666666667,26,1,6.61333333333333,1,2,6,423.597777777778,0.0755404839,66.71875,1,0,0,"3",1
"76","1","JUL2005",0,"SE",22,5,"P",2,3900,3,1,0,12,1,1,0,0.0567737137,62.484375,3,0,0,"3",1
"78","0","JUL2005",0,"SA",20,0,"R",2,792,3,3,237,8.23333333333333,1.67333333333333,12.1733333333333,535.145,0.6159624867,45.1015625,3,3,363,"3",0
"79","1","JUL2005",0,"SO",16,0,"R",1.10222222222222,777.923076923077,27.2133333333333,1.08,10.5333333333333,7.43333333333333,0.686666666666667,11.72,428.045555555556,0.2745507667,60.7109375,1.04666666666667,0,2.67333333333287,"5",2.80666666666667
"82","1","JUL2005",0,"SA",20,1.41333333333333,"R",1.12666666666667,592.666666666667,27.5533333333333,1.02,12.855,9.2,1.12666666666667,15.6666666666667,392.44,0,67.53125,1.01333333333333,0,23.7133333333329,"5",2.14666666666667
"84","1","JUL2005",1,"SN",34,0,"R",1.31333333333333,4150,13,1,38.7466666666667,12.62,7,16.4466666666667,1274.72666666667,0.1422919775,21.40234375,1.14666666666667,0,0,"3",2.26
"85","0","JUL2005",500,"SO",18,0.633333333333333,"P",1,277,5,1.14666666666667,40,10.6666666666667,0.533333333333333,13,178.543333333333,0.1026236699,26.87109375,1,0,41.2044444444444,"5",2
"90","1","JUL2005",560,"FT",18,0.553333333333333,"P",1.24666666666667,948.809523809524,30.5466666666667,1.23111111111111,13.7888888888889,8.2,0,2,482.1,0.0034893525,53.578125,1.04,0,21.3799999999996,"5",2.15333333333333
"91","1","JUL2005",0,"SA",17,0,"P",1.07333333333333,236.113636363636,16.6888888888889,1.03333333333333,32.5622222222222,12,0,37,108.416666666667,0.0338882339,73.25,1.04,0,5.13666666666615,"5",2.14074074074074
"92","0","JUL2005",0,"SG",32,0,"R",1.35333333333333,817.666666666667,25,1,165,3.26,1.36,6.55333333333333,711.106666666667,0.0863910203,48.390625,1,0,0,"3",1
"93","0","JUL2005",1,"SH",21,4,"P",1.14,2400,16,2,97,2,1,3,343,0,71.40625,1,2,2388,"3",0
"94","1","JUL2005",0,"SA",23,4,"R",1.16666666666667,798.458333333333,21.06,1.07333333333333,8.88,2.99333333333333,1.07333333333333,6.44666666666667,555.037777777778,0.1067795982,54.7578125,1,0,50.7066666666665,"5",1.08
"95","1","JUL2005",1,"SL",25,2,"R",1.10666666666667,1004.16666666667,20.12,1.14,9.72,3.3,1.01333333333333,6.72,635.94,0,43.21875,1.00666666666667,0,21.613333333333,"5",2
"96","0","JUL2005",0,"SN",31,1,"R",2.29333333333333,200,12,3,308.36,13.3666666666667,4.80666666666667,19,730.026666666667,0.6877440494,20.9296875,3,1,0,"1",1
"98","1","JUL2005",820,"SO",32,1.4,"R",1.23333333333333,1700,7,1,0,9.78,1.43333333333333,14.0977777777778,124,0.1811588686,51.1126171875,1.11333333333333,0,0,"3",3
"99","1","JUL2005",0,"SF",21,1,"P",2,1222.66666666667,5,2,0,19,3,24,512.026666666667,0.2639586972,43.3046875,3,2,604,"3",0
"101","0","JUL2005",1,"SB",21,0,"P",1,500,1,1.66,50,15,5,7,496,0,63.2265625,2,0,162.398666666667,"5",0
"103","1","JUL2005",1,"SC",17,0,"P",1.47333333333333,3332.66666666667,42.6533333333333,1.76,158.78,16.48,11,26.0633333333333,1148.14666666667,0,60.0546875,1.17333333333333,0,211.816666666667,"5",2.63333333333333
"105","1","JUL2005",0,"SA",18,0,"P",1,908.111111111111,2,3,12.3688888888889,12,0,59,303.138333333333,0.0639404042,48.0234375,1,2,0,"3",1.4
"107","1","JUL2005",0,"SM",31,2,"H",1.36333333333333,1450,10,1.39333333333333,0,6.05333333333333,3.83333333333333,1,402,0,83.265625,1,0,423.76,"5",1
"108","1","JUL2005",1,"SK",18,0.22,"P",1.17333333333333,755.583333333333,33,1,11.8866666666667,27,0,8,385.22,0,46.3359375,1.04,0,0,"3",2.18
"109","1","JUL2005",0,"SM",40,1,"H",1.24666666666667,39100,10,1,0,16.2666666666667,7,21.7933333333333,3596,0.0346307023,48.53125,1,1,1246,"3",4
"110","1","JUL2005",1,"SO",18,0,"P",1.08666666666667,243.462962962963,13.3533333333333,1.05333333333333,22.9288888888889,13.6158333333333,0,20.5633333333333,93.8966666666667,0,82.015625,1,0,15.9633333333333,"5",0
"112","1","JUL2005",0,"SC",20,2,"P",1.17333333333333,613,13.97,1.2,11.19,26,2,3,128.9225,0,70.1875,1.00666666666667,0,18.7599999999996,"5",2.01333333333333
"113","0","JUL2005",200,"SB",18,0.426666666666667,"P",1.2,439.75,21.8933333333333,1.20666666666667,74.2533333333333,22,0,7,274.933333333333,0.0443539924,31.1640625,1,0,39.18,"5",0
"117","0","JUL2005",0,"SO",23,0,"P",1.12,749.444444444444,25.4933333333333,1.16,46.8166666666667,0,1.61333333333333,7,376.035555555556,0,68.234375,1.06,0,12.093333333333,"5",2.70666666666667
"119","0","JUL2005",0,"SA",25,0,"R",1.50666666666667,1407.91666666667,10,2.16666666666667,171.933333333333,9.63333333333333,7,11.68,968.366666666667,0.6388383247,31.83203125,1.28666666666667,0,104.16,"5",2.46
"123","0","JUL2005",0,"SD",28,0,"R",1.22,500,26,4,75,13.96,11,21.5333333333333,496,0.0433898767,50.015625,1.06666666666667,0,0,"3",2.04666666666667
"128","1","JUL2005",0,"SO",17,0,"P",1.16,820.777777777778,17.7911111111111,1.21333333333333,6.23333333333333,24,0,46,172.795,0.0334227048,51.125,1.02,0,29.7733333333333,"5",2.58666666666667
"129","0","JUL2005",0,"SA",20,1,"R",1.08888888888889,441.2,23,1,49.7481481481482,5.63333333333333,1.05333333333333,9.19333333333333,425.793333333333,0.2184336903,45.859375,1.04,0,0,"3",2.35333333333333
"132","1","JUL2005",0,"SO",20,0,"P",1.11333333333333,547.833333333333,13,2,0,12,2,24,188.944,0.1349572488,68.65625,1,1,0,"3",1.54
"134","1","JUL2005",660,"SA",25,1.52666666666667,"P",1.11333333333333,1040.33333333333,18,1.41333333333333,11.8866666666667,10.1266666666667,2.75944444444444,3,396.226666666667,0.014480763,77.171875,1.04,0,22.8666666666663,"5",2.50666666666667
"136","1","JUL2005",0,"SN",21,1,"P",1.08666666666667,748.333333333333,19.9733333333333,1.19333333333333,11.0866666666667,2,2,2,397.46,0.1106034394,47.3046875,1.03333333333333,0,21.0733333333329,"5",2.52666666666667
"137","1","JUL2005",1,"SD",40,2,"H",1.34666666666667,18300,11,2,0,10.08,4,11.5266666666667,7006,0.0109608835,35.7421875,1.07333333333333,0,0,"3",4
"139","1","JUL2005",500,"SO",21,2.96666666666667,"P",1.3,350,25,3,0,17,3.71333333333333,13,0,0.1028900587,70.140625,1,3,1034,"3",1.5
"140","0","JUL2005",700,"SO",19,0,"P",1.54,500,9,4,254,10.7666666666667,0,25.3066666666667,681,0.319299262,64.84375,1,1,0,"1",2
"141","1","JUL2005",0,"SO",20,1.36,"R",1.14666666666667,425.333333333333,24.6866666666667,1.04666666666667,28.3066666666667,5.66666666666667,1.23333333333333,8,437.3425,0.0746849158,21.703125,1.02,0,6.26666666666623,"5",2.64666666666667
"143","1","JUL2005",640,"SC",29,0,"R",1.15333333333333,1562.16666666667,26,1,11.6433333333333,4.92666666666667,1.68,9.52666666666667,782.68,0.0538085662,47.21875,1.06,0,0,"3",2.39333333333333
"144","1","JUL2005",0,"SA",23,0,"P",1.19333333333333,1850,14,2,30,24,4,49,992,0,59.1015625,1,1,0,"3",1.86266666666667
"146","1","JUL2005",1,"SM",22,4,"R",1.14,1438,58,1,19.04,8,4,31,487.181666666667,0,63.5546875,1,1,827,"3",3
"154","0","JUL2005",0,"SF",21,1,"P",1.13333333333333,200,11,3,46,8,4,4,490.046666666667,0.4242882133,43.96875,1,2,0,"1",4
"156","0","JUL2005",0,"SO",37,0,"R",1.27333333333333,1068.66666666667,24.3733333333333,1.54,95.9333333333333,4.58666666666667,2.95333333333333,9.62,951.656111111111,0.3382996237,61.125,1,0,139.58,"5",0
"158","1","JUL2005",0,"SC",19,1,"P",1.12666666666667,659,14.0742222222222,1.25333333333333,7.55,7,1,5,210.98,0.1239608447,63.9453125,1,0,7.94666666666661,"5",0
"161","1","JUL2005",0,"SH",28,0,"P",1.23333333333333,2414,25,1.6,1,17,10,9,1159.16,0,57.5078125,1,0,283.39,"5",0
"162","1","JUL2005",0,"SM",24,2,"P",1.13333333333333,1854.66666666667,18,3,13.68,18,6,25,580.785777777778,0,71.578125,1,2,1213,"3",0
"163","1","JUL2005",0,"SM",20,1,"P",1.12666666666667,713.277777777778,9,2,8.28571428571429,12,2,15,163.926666666667,0.0369781994,64.390625,1,1,0,"3",4
"164","1","JUL2005",1,"SO",20,2,"P",1.22,533.484126984127,7,1,0,12.4162222222222,3,4,216.343333333333,0,61.5625,1,0,0,"3",1
"165","1","JUL2005",0,"SD",22,1,"P",1.26666666666667,893.333333333333,19,1,12.6733333333333,27,4,7,360.293333333333,0,44.1875,1,0,0,"3",1
"173","0","JUL2005",0,"SO",22,1,"R",2,889.666666666667,6,1,65,6.32,1.28,9.99777777777778,421.6,0.1734847398,57.5234375,3,1,504,"3",1
"176","0","JUL2005",540,"SO",20,1,"P",1.9,612,37,1,145.683333333333,10.5933333333333,1.26,13.2866666666667,351.963333333333,0.0155720986,40.59375,3,0,133.573333333333,"5",1
"178","1","JUL2005",0,"SA",19,0,"P",1.09333333333333,212.5,16.6666666666667,1.08666666666667,27.3933333333333,10.6688888888889,0.406666666666667,11.17,131.948888888889,0.0525850855,36.203125,1.01333333333333,0,2.76666666666617,"5",2.1
"179","1","JUL2005",0,"SA",18,0,"P",1.13333333333333,293.69696969697,9,1,23.7844444444444,17,0,40,97.5466666666667,0,59.5390625,1.02,0,0,"3",4
"181","1","JUL2005",0,"SL",21,3,"P",1,950,5,1,1,0,0,3,333.550833333333,0.0285651879,69.5625,1,0,0,"3",2
"183","0","JUL2005",0,"SB",18,1,"P",1.11333333333333,306.083333333333,15.0533333333333,1.16666666666667,52.1533333333333,4,0.353333333333333,5,201.593333333333,0,51.7078393167163,1,0,44.6494444444444,"5",0
"184","1","JUL2005",2,"SH",18,0,"P",1.19333333333333,576.666666666667,36,1,16.23,7,0,34,325.053333333333,0.0569671206,73.421875,1.03333333333333,0,0,"3",2
"185","1","JUL2005",1,"SO",19,0,"P",1,339,4,1,34,10.92,0,21.4644444444444,147.877777777778,1.0710261688,54.859375,1.08666666666667,0,0,"3",2.60666666666667
"187","1","JUL2005",700,"SB",23,1.56,"R",1.12666666666667,824.333333333333,9,1,12.2266666666667,3.29333333333333,0.76,7.31333333333333,559.06,0.2263101987,58.9453125,1.04,0,0,"3",2.74666666666667
"188","1","JUL2005",0,"SO",17,0,"P",1.09555555555556,210,16.4755555555556,1.02,25.9833333333333,11.584,0.0799999999999999,4,110.628055555556,0.052284813,40.8515625,1.01333333333333,0,3.40666666666615,"5",2.11333333333333
"191","1","JUL2005",0,"SO",21,2.84,"P",1.26666666666667,500,27,1,12.4533333333333,7,4,33,155,0.0337905926,53.8125,1,1,1220,"3",1.16095238095238
"192","0","JUL2005",0,"SG",24,0,"P",2.22,938.666666666667,13,3,689,19,6,23,552.184444444444,0.1391638997,61.0703125,3,0,0,"3",1
"194","1","JUL2005",1200,"SN",23,2,"P",1.32666666666667,800,9,4,46,25,5,81,776,0.1410351433,72.546875,1,2,1,"3",3
"197","1","JUL2005",680,"SD",27,0,"H",1,5251.33333333333,2,2,0,15.4266666666667,7,21.9066666666667,1900.39333333333,0.4258581484,49.2734375,1,1,15,"3",4
"199","0","JUL2005",0,"SF",18,1,"P",1,6600,4,2,130,14.5866666666667,10,24.1546428571429,0,0.0160215503,78.296875,2,1,0,"3",2
"202","1","JUL2005",1,"SD",20,0,"P",1,2450,2,2.03833333333333,1,26,3,22,831.826666666667,0.1863745833,55.5625,1,0,438.24,"5",1
"208","0","JUL2005",300,"SL",33,0,"R",1.26,732,34,1,72.48,4.62,1.72,8.12666666666667,727.393333333333,0.0027157705,23.74609375,1,0,0,"3",1
"210","1","JUL2005",1,"SL",27,3,"R",1.22,2250,70,2,21.44,7.02666666666667,0,14.1866666666667,713,0.4421318909,57.125,1,1,1819,"3",4
"211","0","JUL2005",1,"SA",33,0,"R",1,641.666666666667,3,1,160,3.66666666666667,0,8.98333333333333,600.744444444444,0.0821456143,48.53125,2,0,0,"3",0
"213","1","JUL2005",10,"SO",17,0.273333333333333,"P",1.11555555555556,246.666666666667,31.1504,1.02,23.6822222222222,10,0.0733333333333333,15,215.523333333333,0.0797481062,66.328125,1.01333333333333,0,1.13333333333276,"5",1.98666666666667
"214","1","JUL2005",0,"SO",17,0.405833333333333,"P",1,150,1,1.05333333333333,22.6711111111111,3,0.458850574712644,23,172.157777777778,0.0757743677,80.609375,1.02666666666667,0,1.11999999999958,"5",2.14666666666667
"215","0","JUL2005",0,"SC",19,0,"P",1.13333333333333,100,18,1,53.7,11,1,23,188.133333333333,0,60.671875,1,1,121,"3",3
"216","0","JUL2005",1,"SN",22,0,"P",1.12,757.444444444444,7,1,90,0,0,9.96888888888889,499.9725,0.2713300167,57.5390625,1.16666666666667,0,0,"3",2.56666666666667
"217","1","JUL2005",0,"SA",19,0,"P",1.19333333333333,630.333333333333,31,1,15.2066666666667,21,0,10,283.642222222222,0,20.328125,1,1,14,"3",1.12888888888889
"219","0","JUL2005",0,"SO",23,0,"R",3,250,2,2,185,9.63666666666667,0,12.23,62,0.0303861951,45,5,0,136.366666666667,"2",0
"220","1","JUL2005",0,"SO",43,1.64,"H",1.67866666666667,5150,34,1,129.793333333333,14.4533333333333,5,27.9133333333333,154,0.0115713802,90.078125,2,0,0,"3",2
"222","1","JUL2005",0,"SB",22,2,"P",1.15333333333333,841.333333333333,35,1,12.0266666666667,16.6866666666667,4,20,283.813333333333,0.1765374956,57.9453125,1.02666666666667,0,0,"3",2.61333333333333
"223","1","JUL2005",0,"SN",29,1,"R",1.14666666666667,1732.88888888889,57,1,25.2466666666667,5.84,1.58666666666667,9.84666666666667,949.537777777778,0,26.1875,1,0,0,"3",1
"224","1","JUL2005",1,"SO",17,1,"P",1.16666666666667,350.666666666667,31.8066666666667,1.00666666666667,24.3488888888889,0,0.233333333333333,9.02714285714286,241.309166666667,0,21.37109375,1.05333333333333,0,1.27999999999951,"5",2.21777777777778
"227","1","JUL2005",0,"SN",29,0,"P",1,2231.66666666667,6,3,14,15.3,4,21.96,1078.06666666667,0.1603353461,59.8125,2,0,161.206666666667,"5",2
"228","0","JUL2005",0,"SD",20,0,"P",1.5,568.777777777778,10,1.64,439,3,1,12.6866666666667,347.966666666667,0.118397041,20.76171875,1,0,80.4266666666667,"5",0
"229","1","JUL2005",480,"SC",21,3,"P",1.23333333333333,950,30,1,17.36,22,4,18,331.76,0.0428539717,70.65625,1,1,614,"3",1
"230","0","JUL2005",1580,"SO",42,1,"R",1.45333333333333,1998.33333333333,21.7266666666667,1.86,152.006666666667,5.34,3.5,6.96,1245.94833333333,0,53.75,1,0,377.472301587302,"5",1
"231","0","JUL2005",0,"SL",22,1,"R",1,1350,2,2,161.726666666667,9.46666666666667,3.18666666666667,14.6933333333333,729,0.2986786235,26.51171875,1,1,398.426666666667,"1",4
"238","1","JUL2005",0,"SO",17,1,"P",1.08888888888889,252.333333333333,31.36,1.02666666666667,20.1222222222222,5,0.146666666666667,13,278.063333333333,0.2349586217,83.9375,1.02,0,2.43333333333281,"5",2.20666666666667
"241","1","JUL2005",0,"SN",31,1,"R",2,1794,3,3,0,4.53333333333333,1,1,1283.65555555556,0.1407119893,56.1953125,1.58666666666667,0,0,"3",1.916
"242","1","JUL2005",0,"SL",22,5,"P",1.44,7500,11,4,20,14.4333333333333,6.54666666666667,33,6076,0.0253825962,77.4375,1,4,2507,"2",1.76
"243","1","JUL2005",1,"SG",25,1,"H",1,2665.33333333333,4,1.88,0,11.0733333333333,3.65333333333333,19.98,672.113333333333,0.0486565082,75.234375,1.08,0,105.1,"5",3
"244","1","JUL2005",0,"SH",38,1,"R",1.46666666666667,50,31,2,0,10.3933333333333,7,11.1066666666667,867.6,0.4743060898,54.1640625,2,0,0,"3",1
"248","1","JUL2005",1,"SC",23,2,"R",1.12666666666667,936.833333333333,28,1,13.8966666666667,3.24666666666667,1.1,7.91333333333333,672.793333333333,0.1273763287,54.0390625,1.01333333333333,0,0,"3",2.08
"255","0","JUL2005",0,"SL",20,0,"P",1,100,4,1,160.523333333333,24,4,57,398.493333333333,0.4489516728,41.203125,3,0,0,"3",1
"260","1","JUL2005",1,"SO",17,0,"P",1.1,255,14.6,1.06666666666667,31.1311111111111,20,0,10,117.949166666667,0.0339112594,30.86328125,1.03333333333333,0,4.9666666666662,"5",2.49333333333333
"261","0","JUL2005",0,"SH",20,0,"P",1.18,653,10,2,79,25,2,13,229.56,0,70.234375,1,1,0,"3",2.09777777777778
"262","1","JUL2005",0,"SE",22,5,"P",1.13333333333333,818.666666666667,27.3133333333333,1.38,19.3933333333333,12.1333333333333,3.08,19.1933333333333,346.373333333333,0,59.5808919270833,1.03333333333333,0,91.8866666666665,"4",2.21333333333333
"265","1","JUL2005",0,"SO",17,1,"P",1.14,251.296296296296,15.3733333333333,1.01333333333333,27.1711111111111,20,0.0533333333333332,33,112.89,0.0051912499,67.859375,1.02,0,21.4533333333328,"5",2.06
"268","1","JUL2005",0,"SN",21,4,"R",1.12,1250.66666666667,45,1,14.3333333333333,5.68666666666667,1.66666666666667,8.46666666666667,687.543333333333,0.4264914701,47.3046875,1,0,0,"3",1
"270","1","JUL2005",160,"SM",20,1.43333333333333,"R",1,500,3,1.22888888888889,21.24,3,0,1,351.133333333333,0.15033786,44.46875,1,0,75.7666666666667,"5",1
"271","1","JUL2005",0,"SD",23,1,"R",1.12666666666667,950,31,1,7.81,4.35333333333333,1.43333333333333,7.98666666666667,614.333333333333,0,51.4335286458333,1.02666666666667,0,0,"3",2.26666666666667
"275","1","JUL2005",40,"SO",19,0.553333333333333,"P",1.12222222222222,663.25641025641,26.8911111111111,1.04,6.06,6,0,20,319.893333333333,0.3030565986,46.375,1.02,0,6.19333333333287,"5",2.60666666666667
"279","0","JUL2005",0,"SB",18,1,"P",1.52,449.3,22,1,144.615555555556,3,0,7,357.07,0,46.78125,2,0,0,"3",0
"280","1","JUL2005",0,"SF",20,1,"P",1.1,579.333333333333,12.0233333333333,1.09333333333333,3.91,14.08,1.71111111111111,6,173.673333333333,0,61.78125,1.01333333333333,0,10.7999999999996,"5",2.92
"281","1","JUL2005",0,"SN",38,0,"H",3,4500,6,3,45,14.9533333333333,6,18.5044444444444,3751,0.0581534173,64.25,2,1,0,"3",0
"282","1","JUL2005",0,"SM",22,2,"R",1,873.333333333333,2,1,19,5.34666666666667,0.94,12.4666666666667,440.15,0.1818471774,48.6875,1,0,0,"3",0
"283","1","JUL2005",0,"SD",23,1,"R",1.12666666666667,950,31,1,7.81,4.35333333333333,1.43333333333333,7.98666666666667,614.333333333333,0,51.4335286458333,1.02666666666667,0,0,"3",2.26666666666667
"284","1","JUL2005",500,"SA",17,0.426666666666667,"P",1.15555555555556,573.083333333333,28.9916666666667,1.18,18.92,1,0.3,5,445.273333333333,0.2716183262,72.40625,1.08,0,20.7799999999996,"5",1.81333333333333
"286","1","JUL2005",0,"SD",50,1,"R",1.62666666666667,4600,12,1,1,13.9133333333333,6,17.4133333333333,1,0.2737620827,35.7734375,1,0,0,"3",1
"290","0","JUL2005",0,"SB",20,1,"R",1.15555555555556,366.866666666667,9,1,68.7688888888889,7.36666666666667,1.26,12.2333333333333,339.085555555556,0.1957490891,40.640625,1,0,0,"3",0
"295","1","JUL2005",0,"SC",18,0,"P",1.23333333333333,775.388888888889,27.8533333333333,1.32666666666667,26.3466666666667,23,0,42,293.468333333333,0,90.15625,1,0,57.3533333333333,"5",0
"296","1","JUL2005",0,"SA",17,0,"P",1.08222222222222,233.780303030303,17.6226515151515,1.02666666666667,25.82,6,0.256666666666667,23,145.992222222222,0.0414875174,57.7578125,1.01333333333333,0,5.61999999999952,"5",1.90074074074074
"298","1","JUL2005",1200,"SO",23,3,"H",1.46666666666667,2250,7,1,0,8.66,0,14.0266666666667,888.133333333333,0.1498128241,29.27734375,2,1,997,"3",0
"299","1","JUL2005",0,"SH",22,0,"R",1.10666666666667,1058.66666666667,25.5133333333333,1.22,14.1,4.74,1.16666666666667,7.59333333333333,656.35,0.1125059458,30.9140625,1.06,0,11.8599999999996,"5",2.60666666666667
"300","1","JUL2005",1520,"SM",23,5,"R",1,1900,2,2,0,10.2466666666667,3.43333333333333,20.2933333333333,526,0.4064221205,67.84375,1,2,708,"3",1
"301","1","JUL2005",0,"SA",19,0,"P",1.08666666666667,227,17.1977777777778,1.07111111111111,26.5733333333333,2,0.5,5,177.308888888889,0.0565901076,56.546875,1.02,0,4.31333333333286,"5",2.14
"308","0","JUL2005",0,"SK",19,1,"P",1.77333333333333,1308,7,2,177.22,12,0,8,561.866666666667,0.0551881979,25,2,2,506,"3",0
