"","GOOD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","NewFeature1","NewFeature2"
"113","1","JUL2005",200,"SB",18,"0","P",0.0399999999999761,265,14.02,1.24,14.6,22,0,7,234.666666666667,0.0443539924,31.1640625,1,0,17.0666666666666,"5",0,0.456946359479862,-267.743333333333
"117","1","JUL2005",0,"SO",23,"0","P",0.0133333333333084,906,21.8066666666667,1.09333333333333,21.96,0,1.6,7,561.76,0,68.234375,0,0,3.17333333333263,"5",12,0.455205728078736,-620.893333333333
"119","0","JUL2005",0,"SA",25,"0","R",0,2278,10,2.47333333333333,220.193333333333,13.08,7,15.68,1346.36,0.6388383247,31.83203125,0,0,87.2266666666662,"5",12,0.493641005225762,-1305.90666666667
"123","0","JUL2005",0,"SD",28,"0","R",0,500,26,4,75,15.4333333333333,11,21.6666666666667,496,0.0433898767,50.015625,0,0,0,"3",12,0.992,-4
"128","1","JUL2005",0,"SO",17,"0","P",0.0133333333333091,341.444444444444,15.7866666666667,1.02666666666667,6.15333333333333,24,0,46,210.346666666667,0.0334227048,51.125,0,0,0.0133333333324123,"5",12,0.380929497966228,-330.786666666667
"129","0","JUL2005",0,"SA",20,"1","R",0,210.333333333333,23,1,58.14,6.62666666666667,1.27333333333333,9.18,271.826666666667,0.2184336903,45.859375,0,0,0,"3",12,0.560857410526202,-209.9
"132","1","JUL2005",0,"SO",20,"0","P",0,362.333333333333,13,2,0,12,2,24,224.563333333333,0.1349572488,68.65625,1,1,0,"3",1.31333333333333,0.405010806689865,-333.166666666667
"134","1","JUL2005",660,"SA",25,"1","P",0,927,18,1.57333333333333,19.2866666666667,9.005,3.38666666666667,3,743.302666666667,0.014480763,77.171875,0,0,23.7999999999994,"5",12,0.482601612768867,-751.626666666667
"136","1","JUL2005",0,"SN",21,"1","P",-2.37450799763413e-14,877,22.4583333333333,1.14,22.3066666666667,2,2,2,586.261666666667,0.1106034394,47.3046875,0,0,8.8999999999993,"5",12,0.472862651483963,-817.953333333333
"137","1","JUL2005",1,"SD",40,"2","H",0,18300,11,2,0,15.16,4,18.9,7006,0.0109608835,35.7421875,1.26,0,0,"3",4,0.382841530054645,-11294
"139","1","JUL2005",500,"SO",21,"4","P",0,350,25,3,0,17,4.67111111111111,13,0,0.1028900587,70.140625,1,3,1034,"3",1.51333333333333,0,-350
"140","0","JUL2005",700,"SO",19,"0","P",0,500,9,4,254,10.82,0,28.2533333333333,681,0.319299262,64.84375,1,1,0,"1",2,1.362,181
"141","1","JUL2005",0,"SO",20,"1","P",0.0133333333333094,265.333333333333,13.5266666666667,1.04666666666667,8.56,16.1666666666667,1.16666666666667,8,176.813333333333,0.0746849158,21.703125,0,0,2.43999999999912,"5",12,0.42649977313895,-228.58
"143","1","JUL2005",640,"SC",29,"0","R",0,602,26,1,41.4133333333333,4.72666666666667,1.24666666666667,6.52,769.826666666667,0.0538085662,47.21875,0,0,0,"3",12,0.676304249921886,-307.36
"144","1","JUL2005",0,"SA",23,"0","P",0,1850,14,2,30,24,4,49,992,0,59.1015625,1,1,0,"3",1.96,0.536216216216216,-858
"146","1","JUL2005",1,"SM",22,"4","R",0,1764.66666666667,58,1,21.5666666666667,8,4,31,647.493333333333,0,63.5546875,1,1,827,"3",3,0.320947198696222,-1659
"154","1","JUL2005",0,"SF",21,"1","P",0,200,11,3,46,8,4,4,454.26,0.4242882133,43.96875,1,2,0,"1",4,0.629786368741822,-280.72
"156","1","JUL2005",0,"SO",37,"0","R",-2.22781052864699e-14,734.5,21.94,1.75333333333333,23.8533333333333,3.8,2.2,6.72,902.618333333333,0.3382996237,61.125,1,0,99.8866666666667,"5",0,0.624395298101322,-403.02
"158","1","JUL2005",0,"SC",19,"1","P",0.0133333333333082,274.666666666667,11.9573333333333,1.13333333333333,11.3,7,1,5,179.613333333333,0.1239608447,63.9453125,1,0,10.5666666666666,"5",0,0.430362553282971,-227.16
"161","1","JUL2005",0,"SH",28,"0","P",0,3046,25,2.20666666666667,1,17,10,9,1968.88333333333,0,57.5078125,1,0,291.726666666667,"5",0,0.486361291850521,-2495.24666666667
"162","1","JUL2005",0,"SM",24,"2","P",0,2164,18,3,10.0133333333333,18,6,25,1100.64,0,71.578125,1,2,1213,"3",0,0.381292619844925,-1723.63333333333
"163","1","JUL2005",0,"SM",20,"1","P",0,872.333333333333,9,2,3.84666666666667,12,2,15,394.853333333333,0.0369781994,64.390625,1,1,0,"3",4,0.349531271216845,-765.006666666667
"164","0","JUL2005",1,"SO",20,"2","P",0,273.666666666667,7,1,0,7.89066666666667,3,4,287.053333333333,0,61.5625,1,0,0,"3",1,0.50921897118915,-279.24
"165","1","JUL2005",0,"SD",22,"1","P",0,1487,19,1,12.74,27,4,7,842.575,0,44.1875,1,0,0,"3",1,0.409463583064515,-1016.64888888889
"173","0","JUL2005",0,"SO",22,"1","R",2,555.333333333333,6,1,65,5.64666666666667,0.78,10.46,396.6,0.1734847398,57.5234375,3,1,504,"3",1,0.521862868893843,-361.2
"176","0","JUL2005",540,"SO",20,"1","P",0,273.666666666667,37,1,151.786666666667,11.355,1.55333333333333,19.4066666666667,360.32,0.0155720986,40.59375,3,0,70.3066666666667,"5",1,0.538949820193028,-273.86
"178","0","JUL2005",0,"SA",19,"0","P",0.0133333333333098,153.222222222222,15.68,1.06,59.704,9.64,0.68,11.24,178.626666666667,0.0525850855,36.203125,0,0,0.253333333332397,"5",12,0.480204805512481,-193.706666666667
"179","1","JUL2005",0,"SA",18,"0","P",0,161,9,1,28.6133333333333,17,0,40,167.303333333333,0,59.5390625,1.02666666666667,0,0,"3",4,0.441743654956186,-213.713333333333
"181","1","JUL2005",0,"SL",21,"3","P",1,950,5,1,1,0,0,3,601.046666666667,0.0285651879,69.5625,1,0,0,"3",2,0.46547437874248,-706.993333333333
"183","1","JUL2005",0,"SB",18,"1","P",0.0133333333333083,163,17.4733333333333,1.07333333333333,47.78,4,0.373333333333333,5,184.406666666667,0,60.2049088541667,1,0,18.9533333333333,"5",0,0.539316020191936,-202.513333333333
"184","1","JUL2005",2,"SH",18,"0","P",0,670.666666666667,36,1,34.4066666666667,7,0,34,482.506666666667,0.0569671206,73.421875,1.08666666666667,0,0,"3",2,0.522367908601143,-506.046666666667
"185","1","JUL2005",1,"SO",19,"0","P",1,172.333333333333,4,1,34,11.42,0,16.2633333333333,171.566666666667,1.0710261688,54.859375,0,0,0,"3",12,0.434169303945266,-225.393333333333
"187","1","JUL2005",700,"SB",23,"1","R",0,475,9,1,21.7266666666667,2.49333333333333,0.633333333333333,6.29333333333333,410.446666666667,0.2263101987,58.9453125,0,0,0,"3",12,0.49810632217057,-408.603333333333
"188","1","JUL2005",0,"SO",17,"0","P",0.0333333333333111,277.777777777778,12.8666666666667,1.04666666666667,13.3266666666667,17.32,0.266666666666667,4,157.293333333333,0.052284813,40.8515625,0,0,0.379999999999057,"5",12,0.407675098369547,-279.406666666667
"191","1","JUL2005",0,"SO",21,"3","P",0,500,27,1,16.0266666666667,7,4,33,155,0.0337905926,53.8125,1,1,1220,"3",1.7,0.31,-345
"192","0","JUL2005",0,"SG",24,"0","P",0,715.666666666667,13,3,689,19,6,23,527.42,0.1391638997,61.0703125,3,0,0,"3",1,0.535591435382296,-526.686666666667
"194","1","JUL2005",1200,"SN",23,"2","P",0,800,9,4,46,25,5,81,776,0.1410351433,72.546875,1,2,1,"3",3,0.97,-24
"197","1","JUL2005",680,"SD",27,"0","H",1,13167,2,2,0,17.02,7,23.3933333333333,4543.48,0.4258581484,49.2734375,1,1,15,"3",4,0.344985454284723,-8680.68333333333
"199","0","JUL2005",0,"SF",18,"1","P",1,6600,4,2,130,14.2933333333333,10,31.8066666666667,0,0.0160215503,78.296875,2,1,0,"3",2,0,-6600
"202","1","JUL2005",1,"SD",20,"0","P",1,2450,2,1.92666666666667,1,26,3,22,1259.43333333333,0.1863745833,55.5625,1,0,355.72,"5",1,0.477836253928855,-1284.95333333333
"208","1","JUL2005",300,"SL",33,"0","R",0,962.666666666667,34,1,26.1933333333333,3.39333333333333,1.27333333333333,7.00666666666667,713.146666666667,0.0027157705,23.74609375,1,0,0,"3",1,0.58581789034198,-478.18
"210","1","JUL2005",1,"SL",27,"3","R",0,2250,70,2,22.68,10.8933333333333,0,21.8466666666667,713,0.4421318909,57.125,1,1,1819,"3",4,0.316888888888889,-1537
"211","0","JUL2005",1,"SA",33,"0","R",1,393.666666666667,3,1,160,4,0,5.95333333333333,463.06,0.0821456143,48.53125,2,0,0,"3",0,0.645241199514693,-223.353333333333
"213","1","JUL2005",10,"SO",17,"0","P",-2.41913896322406e-14,150.333333333333,19.8866666666667,1,46.0355555555556,10,0.18,15,221.68,0.0797481062,66.328125,0,0,0.806666666665681,"5",12,0.531829691634485,-185.12
"214","1","JUL2005",0,"SO",17,"0","P",1,150,1,1.06,44.3333333333333,3,0.186666666666667,23,164.846666666667,0.0757743677,80.609375,0,0,0.246666666665695,"5",12,0.488975697270619,-182.986666666667
"215","1","JUL2005",0,"SC",19,"0","P",0,100,18,1,52.7533333333333,11,1,23,267.586666666667,0,60.671875,1,1,121,"3",3,0.575763752355356,-232.246666666667
"216","0","JUL2005",1,"SN",22,"0","P",0,477.666666666667,7,1,90,0,0,8.17333333333333,423.006666666667,0.2713300167,57.5390625,0,0,0,"3",12,0.519478066729254,-419.26
"217","1","JUL2005",0,"SA",19,"0","P",0,302,31,1,50.7466666666667,21,0,10,394.74,0,20.328125,1,1,14,"3",1.17666666666667,0.779773833372701,-129.753333333333
"219","0","JUL2005",0,"SO",23,"0","R",3,250,2,2,185,10.88,0,21.4166666666667,62,0.0303861951,45,5,0,200.093333333333,"2",0,0.248,-188
"220","1","JUL2005",0,"SO",43,"1","H",0,5150,34,1,21.98,15.8866666666667,5,26.9128888888889,154,0.0115713802,90.078125,2,0,0,"3",2,0.0299029126213592,-4996
"222","1","JUL2005",0,"SB",22,"2","P",0,388.555555555556,35,1,41.96,14.48,4,20,474.942666666667,0.1765374956,57.9453125,0,0,0,"3",12,0.556811261383255,-320.14
"223","1","JUL2005",0,"SN",29,"1","R",0,1850,57,1,19.2,8.71333333333333,4.68666666666667,7.9,1099.72666666667,0,26.1875,1,0,0,"3",1,0.500568296380615,-1341.2
"224","1","JUL2005",1,"SO",17,"1","P",-2.37554420579045e-14,153,21.635,1.02666666666667,42.8866666666667,0,0.226666666666667,8.20666666666667,213.333333333333,0,21.37109375,0,0,0.366666666665721,"5",12,0.513078200304113,-202.593333333333
"227","1","JUL2005",0,"SN",29,"0","P",1,2373.66666666667,6,3,14,17.14,4,20.5,1431.6,0.1603353461,59.8125,2,0,271.02,"5",2,0.483697036159722,-1596.79333333333
"228","0","JUL2005",0,"SD",20,"0","P",0,274.333333333333,10,1.66,439,3,1,12.5333333333333,282.137777777778,0.118397041,20.76171875,1,0,21.92,"5",0,0.549108325827696,-223.713333333333
"229","1","JUL2005",480,"SC",21,"3","P",0,950,30,1,45.1933333333333,22,4,18,690.04,0.0428539717,70.65625,1,1,614,"3",1,0.46843228928208,-711.133333333333
"230","0","JUL2005",1580,"SO",42,"1","R",0.0333333333333117,888,21.7533333333333,2.00666666666667,182.48,3.72,3.26,7.58,860.886666666667,0,53.75,1,0,188.753333333333,"5",1,0.6770270248942,-609.42
"231","0","JUL2005",0,"SL",22,"1","R",1,1350,2,2,272.66,10.88,1.93555555555556,18.98,600.924444444444,0.2986786235,26.51171875,1,1,692.853333333333,"1",4,0.420107520690204,-848.98
"238","1","JUL2005",0,"SO",17,"1","P",0.026666666666643,146.666666666667,19.2266666666667,1.02,52.5111111111111,5,0.24,13,197.566666666667,0.2349586217,83.9375,0,0,-9.40758582146373e-13,"5",12,0.522041016338053,-172.626666666667
"241","1","JUL2005",0,"SN",31,"1","R",2,2434,3,3,0,3.59333333333333,1,1,1706.62,0.1407119893,56.1953125,0,0,0,"3",12,0.55779067480815,-1045.23333333333
"242","1","JUL2005",0,"SL",22,"5","P",0,7500,11,4,20,14.0666666666667,4.48666666666667,24.7666666666667,6076,0.0253825962,77.4375,1,4,2507,"2",1.76666666666667,0.810133333333333,-1424
"243","1","JUL2005",1,"SG",25,"1","H",1,3144.91666666667,4,1.45333333333333,0,12.3866666666667,2.28,21.7333333333333,1393.47666666667,0.0486565082,75.234375,1.07333333333333,0,277.2,"5",3,0.369048742974053,-2347.10666666667
"244","1","JUL2005",0,"SH",38,"1","R",0,50,31,2,0,11.1333333333333,7,12.2866666666667,975.893333333333,0.4743060898,54.1640625,2,0,0,"3",1,0.911860158531436,-489.823333333333
"248","1","JUL2005",1,"SC",23,"2","R",0,308.666666666667,28,1,40.9266666666667,6.20666666666667,1.31333333333333,8.98,526.793333333333,0.1273763287,54.0390625,0,0,0,"3",12,0.684467230374683,-237.922222222222
"255","0","JUL2005",0,"SL",20,"0","P",1,100,4,1,142.473333333333,24,4,57,365.16,0.4489516728,41.203125,3,0,0,"3",1,0.61184501507391,-286.98
"260","1","JUL2005",1,"SO",17,"0","P",0.00666666666664345,245.333333333333,13.3666666666667,1.04666666666667,18.6866666666667,20,0,10,162.846666666667,0.0339112594,30.86328125,0,0,0.013333333332402,"5",12,0.407473042927985,-214.726666666667
"261","0","JUL2005",0,"SH",20,"0","P",0,327.333333333333,10,2,79,25,2,13,292.988,0,70.234375,1,1,0,"3",1.90666666666667,0.451037846665487,-332.353333333333
"262","0","JUL2005",0,"SE",22,"5","P",-2.43938202970639e-14,973.666666666667,27.42,1.68857142857143,93.2866666666667,12.54,3.78666666666667,20.5266666666667,643.58,0,52.717535807292,0,0,98.8133333333328,"4",12,0.438226913022123,-680.926666666667
"265","1","JUL2005",0,"SO",17,"1","P",0.0066666666666428,179.666666666667,22.8633333333333,1.01333333333333,51.1933333333333,20,0.166666666666667,33,203.44,0.0051912499,67.859375,0,0,1.62666666666566,"5",12,0.471333452119829,-238.52
"268","1","JUL2005",0,"SN",21,"4","R",0,1760.33333333333,45,1,12.3733333333333,11.98,2.13333333333333,17.6155555555556,777.94,0.4264914701,47.3046875,1,0,0,"3",1,0.360718484487124,-1392.37333333333
"270","1","JUL2005",160,"SM",20,"0","R",1,500,3,1.44,22.3333333333333,3,0,1,421.526666666667,0.15033786,44.46875,1,0,61.8066666666667,"5",1,0.488232494300686,-628.266666666667
"271","1","JUL2005",0,"SD",23,"1","R",0,950,31,1,15.3,2.15333333333333,1.18,6.22,706.821666666667,0,50.9235677083333,0,0,0,"3",12,0.546315058368749,-473.826666666667
"275","1","JUL2005",40,"SO",19,"0","P",0.0133333333333095,237,12.7955555555556,1.05333333333333,8.34666666666667,6,0,20,158.546666666667,0.3030565986,46.375,0,0,0.0733333333324125,"5",12,0.401803715950716,-247.56
"279","1","JUL2005",0,"SB",18,"1","P",0,228.8,22,1,36.6716666666667,3,0,7,232.193333333333,0,46.78125,2,0,0,"3",0,0.514940018419287,-235.57
"280","1","JUL2005",0,"SF",20,"1","P",1.01333333333333,355.444444444444,4.53333333333333,1.13333333333333,4.81333333333333,12.6866666666667,1.4,6,195.26,0,61.78125,0,0,-8.88083680668691e-13,"5",12,0.38295473922431,-311.286666666667
"281","1","JUL2005",0,"SN",38,"0","H",3,4500,6,3,45,8.56666666666667,6,9.89333333333333,3751,0.0581534173,64.25,2,1,0,"3",0,0.833555555555556,-749
"282","1","JUL2005",0,"SM",22,"2","R",1,724.333333333333,2,1,19,7.83666666666667,1.09333333333333,11.2533333333333,418.726666666667,0.1818471774,48.6875,1,0,0,"3",0,0.450494266739501,-533.476666666667
"283","1","JUL2005",0,"SD",23,"1","R",0,950,31,1,15.3,2.15333333333333,1.18,6.22,706.821666666667,0,50.9235677083333,0,0,0,"3",12,0.546315058368749,-473.826666666667
